algoritmo,conjunto,h,MAE,R2
lightgbm,M0_clima6,1,29.055415490626967,0.82831833432581
lightgbm,M0_clima6,2,28.235440740667585,0.83995058842734
lightgbm,M0_clima6,3,37.83952878938145,0.7123191143874698
lightgbm,M0_clima6,4,48.70197227703864,0.609680862953667
lightgbm,M0_clima6,5,52.430717653568394,0.4787589516354621
lightgbm,M0_clima6,6,60.98478790388468,0.4158150202383424
lightgbm,M0_clima6,7,64.39924481298297,0.2861544775284379
lightgbm,M0_clima6,8,75.86116487887189,0.16590823140769784
lightgbm,M0_clima6,9,83.17165959653362,-0.02485974976020322
lightgbm,M0_clima6,10,84.92366238867972,-0.024373489225628875
lightgbm,M0_clima6,11,85.75129593781298,-0.11094980859312686
lightgbm,M0_clima6,12,90.93836933220318,-0.11521192441376193
lightgbm,M1_clima6_vetor,1,30.80888701202039,0.8236810783284373
lightgbm,M1_clima6_vetor,2,32.2387117952691,0.8481926894775323
lightgbm,M1_clima6_vetor,3,39.98733682084319,0.7322669184255801
lightgbm,M1_clima6_vetor,4,53.344100708336335,0.598516817567161
lightgbm,M1_clima6_vetor,5,62.09549623495975,0.3820897236476818
lightgbm,M1_clima6_vetor,6,59.1634059793427,0.5069166574163464
lightgbm,M1_clima6_vetor,7,60.496020358115594,0.40521135796609986
lightgbm,M1_clima6_vetor,8,72.43836779615685,0.2171425108676558
lightgbm,M1_clima6_vetor,9,76.67086062180749,0.1904525568378439
lightgbm,M1_clima6_vetor,10,77.85978304650571,0.3152750463538895
lightgbm,M1_clima6_vetor,11,77.53416660008071,0.1428172449634556
lightgbm,M1_clima6_vetor,12,84.82074446963163,0.03067610866995507
lightgbm,M0_clima8,1,30.170252020362316,0.818436390362001
lightgbm,M0_clima8,2,32.51782364252072,0.7981520112953155
lightgbm,M0_clima8,3,41.209141236483745,0.6533609112005143
lightgbm,M0_clima8,4,49.09912231435706,0.5809976351619306
lightgbm,M0_clima8,5,48.14350991056957,0.5766406505917637
lightgbm,M0_clima8,6,58.7231430113571,0.4214585416758976
lightgbm,M0_clima8,7,70.14896708356704,0.21466772573129034
lightgbm,M0_clima8,8,70.39727509749866,0.21612471028887137
lightgbm,M0_clima8,9,82.8674379491978,0.03798835365519815
lightgbm,M0_clima8,10,79.7200138530193,0.13043245416879612
lightgbm,M0_clima8,11,77.49148282155312,0.0685096332726225
lightgbm,M0_clima8,12,76.55693870967004,0.1400852692269926
lightgbm,M1_clima8_vetor,1,30.951516377046712,0.8260249068278596
lightgbm,M1_clima8_vetor,2,32.686919630058895,0.8419313914337814
lightgbm,M1_clima8_vetor,3,40.93634174550176,0.7158125942825591
lightgbm,M1_clima8_vetor,4,53.69875848579086,0.5848090269368931
lightgbm,M1_clima8_vetor,5,62.168011333346264,0.3958926504824063
lightgbm,M1_clima8_vetor,6,57.908457187070404,0.49718217363739803
lightgbm,M1_clima8_vetor,7,59.07066548787399,0.40766179147399684
lightgbm,M1_clima8_vetor,8,70.07433582101183,0.2826437090016306
lightgbm,M1_clima8_vetor,9,78.98898225377727,0.15532103762159
lightgbm,M1_clima8_vetor,10,76.1310342074169,0.3154927822173669
lightgbm,M1_clima8_vetor,11,74.1168066750302,0.21998173458862436
lightgbm,M1_clima8_vetor,12,75.32828402452014,0.2456076861034192
