algoritmo,h,R2_so_clima,R2_clima_vetor,ganho
lightgbm,1,0.23552630832303467,0.3084091266394601,0.0728828183164254
lightgbm,2,0.16557756062158313,0.28730297354550627,0.12172541292392314
lightgbm,3,0.23248194774458375,0.2305995618936112,-0.0018823858509725566
lightgbm,4,0.22084449557559682,0.2785829509154357,0.0577384553398389
lightgbm,5,0.23982371694765992,0.3564424288476997,0.1166187119000398
lightgbm,6,0.23493306864662,0.31809652437406366,0.08316345572744366
lightgbm,7,0.14262349677461372,0.24877876494888085,0.10615526817426713
lightgbm,8,0.08891743277475961,0.20068129366046494,0.11176386088570534
lightgbm,9,0.08224488738161295,0.21457894319944049,0.13233405581782753
lightgbm,10,-0.04459978021830113,0.12754766458102007,0.1721474447993212
lightgbm,11,-0.023115961872588464,0.1328847504332381,0.15600071230582657
lightgbm,12,-0.023691049093758743,0.10622364526499017,0.12991469435874892
