algoritmo,pctl,h,n,n_pos,clima_certo_vetor_errado,vetor_certo_clima_errado,discordantes,p_bruto,p_holm,significativo_holm,alfa
lightgbm,90,4,565,121,10,7,17,0.629058837890625,1.0,False,0.05
lightgbm,90,8,558,123,32,15,47,0.019604108570366055,0.09802054285183028,False,0.05
lightgbm,90,12,553,127,23,7,30,0.006169899320544161,0.03701939592326497,True,0.05
lightgbm,95,4,568,77,19,10,29,0.13739482585580065,0.5495793034232026,False,0.05
lightgbm,95,8,560,78,9,10,19,1.0,1.0,False,0.05
lightgbm,95,12,554,83,19,10,29,0.13739482585580065,0.5495793034232026,False,0.05
