algoritmo,conjunto,h,MAE,R2
lightgbm,so_clima,1,63.70320913067262,0.8130271705857394
lightgbm,so_clima,2,80.88562389346832,0.7251077024573347
lightgbm,so_clima,3,101.22266028217393,0.6257945250580641
lightgbm,so_clima,4,112.280415399822,0.5161753015917487
lightgbm,so_clima,5,122.83548173460503,0.5023750542553145
lightgbm,so_clima,6,123.10581141727475,0.46433657144399665
lightgbm,so_clima,7,142.24013318281612,0.3803497444807392
lightgbm,so_clima,8,140.21665263887317,0.32543879867636616
lightgbm,so_clima,9,160.58824579735654,0.15820557427809545
lightgbm,so_clima,10,157.09980079854864,0.0927117437498145
lightgbm,so_clima,11,170.27288252740072,0.02287945959435278
lightgbm,so_clima,12,168.2822246055634,0.01381120367893962
lightgbm,clima_vetor,1,59.78157368790733,0.8221311440738945
lightgbm,clima_vetor,2,94.80253182868235,0.6004312312856945
lightgbm,clima_vetor,3,115.20489612845127,0.5187314019933328
lightgbm,clima_vetor,4,140.8775901587294,0.4644810948938224
lightgbm,clima_vetor,5,141.3511323498123,0.4035000023531926
lightgbm,clima_vetor,6,162.47805463887343,0.2378168678876068
lightgbm,clima_vetor,7,172.44358512543343,0.029439252855989917
lightgbm,clima_vetor,8,166.86915281334367,0.22591761271598976
lightgbm,clima_vetor,9,155.86079696823177,0.24375597734812082
lightgbm,clima_vetor,10,170.64015156462509,0.2139676818265528
lightgbm,clima_vetor,11,173.06092748671122,0.058659762012113204
lightgbm,clima_vetor,12,191.0260643508187,0.0018875219278674527
lightgbm,so_vetor,1,60.92366835141866,0.8040810398980655
lightgbm,so_vetor,2,88.06103457489372,0.6687077851166588
lightgbm,so_vetor,3,114.90552847992372,0.5077949457484754
lightgbm,so_vetor,4,140.5101477774123,0.4462600976860338
lightgbm,so_vetor,5,125.55567764191241,0.5367620996602842
lightgbm,so_vetor,6,155.00798290711498,0.32328857957899626
lightgbm,so_vetor,7,162.17666718122823,0.1863734486150016
lightgbm,so_vetor,8,149.04022621065707,0.4277959508962692
lightgbm,so_vetor,9,142.9101504700723,0.43602130373312886
lightgbm,so_vetor,10,158.32068147167584,0.414497867504794
lightgbm,so_vetor,11,138.66401829803172,0.5159927342941095
lightgbm,so_vetor,12,142.9046564472119,0.5135673774691709
