algoritmo,n,n_pos,tp,fp,fn,tn,sensib,espec,precisao,f1,bal_acc,auc,ap,exp,pctl,h,modelo
lightgbm,565,121,4,12,117,432,0.03305785123966942,0.972972972972973,0.25,0.058394160583941604,0.5030154121063213,0.7983861961134688,0.41687829631590323,surto_notificados,90,4,sazonal
lightgbm,565,121,77,9,44,435,0.6363636363636364,0.9797297297297297,0.8953488372093024,0.7439613526570048,0.808046683046683,0.9347032983396619,0.825933602172509,surto_notificados,90,4,so-clima
lightgbm,565,121,74,9,47,435,0.6115702479338843,0.9797297297297297,0.891566265060241,0.7254901960784313,0.7956499888318069,0.9278627801355074,0.8186476524478308,surto_notificados,90,4,clima+vetor
lightgbm,558,123,3,12,120,423,0.024390243902439025,0.9724137931034482,0.2,0.043478260869565216,0.49840201850294363,0.8015512568918792,0.43258728502301635,surto_notificados,90,8,sazonal
lightgbm,558,123,61,17,62,418,0.4959349593495935,0.960919540229885,0.782051282051282,0.6069651741293532,0.7284272497897393,0.8752453041771797,0.6467999771520818,surto_notificados,90,8,so-clima
lightgbm,558,123,58,31,65,404,0.4715447154471545,0.9287356321839081,0.651685393258427,0.5471698113207547,0.7001401738155313,0.8624801420427998,0.5925708112560367,surto_notificados,90,8,clima+vetor
lightgbm,553,127,2,12,125,414,0.015748031496062992,0.971830985915493,0.14285714285714285,0.028368794326241134,0.493789508705778,0.7588166796051902,0.4104389605640851,surto_notificados,90,12,sazonal
lightgbm,553,127,39,22,88,404,0.30708661417322836,0.9483568075117371,0.639344262295082,0.4148936170212766,0.6277217108424827,0.8106539499463975,0.523126879439005,surto_notificados,90,12,so-clima
lightgbm,553,127,38,37,89,389,0.2992125984251969,0.9131455399061033,0.5066666666666667,0.37623762376237624,0.6061790691656501,0.7927433366603822,0.4577128155706374,surto_notificados,90,12,clima+vetor
lightgbm,568,77,0,6,77,485,0.0,0.9877800407331976,0.0,0.0,0.4938900203665988,0.8316317084137858,0.335767725647584,surto_notificados,95,4,sazonal
lightgbm,568,77,39,14,38,477,0.5064935064935064,0.9714867617107943,0.7358490566037735,0.6,0.7389901341021503,0.9255428888830111,0.7417425751665233,surto_notificados,95,4,so-clima
lightgbm,568,77,36,20,41,471,0.4675324675324675,0.9592668024439919,0.6428571428571429,0.5413533834586466,0.7133996349882297,0.9211786177162959,0.6529773203167987,surto_notificados,95,4,clima+vetor
lightgbm,560,78,0,4,78,478,0.0,0.991701244813278,0.0,0.0,0.495850622406639,0.8414060006383657,0.36790696163330017,surto_notificados,95,8,sazonal
lightgbm,560,78,10,14,68,468,0.1282051282051282,0.970954356846473,0.4166666666666667,0.19607843137254902,0.5495797425258007,0.8675390999042453,0.45811728065252644,surto_notificados,95,8,so-clima
lightgbm,560,78,15,18,63,464,0.19230769230769232,0.9626556016597511,0.45454545454545453,0.2702702702702703,0.5774816469837217,0.8703319502074689,0.41269589579972926,surto_notificados,95,8,clima+vetor
lightgbm,554,83,0,4,83,467,0.0,0.9915074309978769,0.0,0.0,0.49575371549893843,0.837707517969969,0.37426192118486323,surto_notificados,95,12,sazonal
lightgbm,554,83,18,13,65,458,0.21686746987951808,0.9723991507430998,0.5806451612903226,0.3157894736842105,0.594633310311309,0.8397667101527126,0.44014524993319215,surto_notificados,95,12,so-clima
lightgbm,554,83,14,18,69,453,0.1686746987951807,0.9617834394904459,0.4375,0.24347826086956523,0.5652290691428132,0.8317090016115417,0.40119769497099494,surto_notificados,95,12,clima+vetor
