algoritmo,perda,conjunto,h,periodo,n,MAE,R2,vies_pico
gradient_boosting,quantil_0.85,M0_sem_vetor,8,calibracao,191,41.23704234427189,0.5803685619890026,-138.9577400306327
gradient_boosting,quantil_0.85,M0_sem_vetor,12,avaliacao,109,215.5729342067752,0.683044999605132,-404.5294388119836
gradient_boosting,quantil_0.85,M0_sem_vetor,12,calibracao,187,44.34241076853781,0.5038289623880652,-194.51406277176662
gradient_boosting,quantil_0.85,M1_com_vetor,1,avaliacao,102,108.11407606779373,0.8931596961544922,-145.82357059259462
gradient_boosting,quantil_0.85,M1_com_vetor,1,calibracao,193,27.07142347367569,0.7591523971658876,54.34078842829701
gradient_boosting,quantil_0.85,M1_com_vetor,4,avaliacao,102,157.59375323923436,0.8063062341320605,-116.60723588244451
gradient_boosting,quantil_0.85,M1_com_vetor,4,calibracao,190,35.06097373388172,0.7185595406240458,-71.446012118751
gradient_boosting,quantil_0.85,M1_com_vetor,8,avaliacao,102,201.98837945991588,0.7093387977925517,-365.88311995382264
gradient_boosting,quantil_0.85,M1_com_vetor,8,calibracao,186,40.05289684001572,0.5953933614628943,-97.82430358984462
gradient_boosting,quantil_0.85,M1_com_vetor,12,avaliacao,102,183.41950061023036,0.764194904613773,-377.2599192447032
gradient_boosting,quantil_0.85,M1_com_vetor,12,calibracao,182,37.76510263893348,0.6600154935401026,-165.72485069695108
gradient_boosting,quantil_0.90,M0_sem_vetor,1,avaliacao,109,118.76146251563581,0.8577137590705659,50.2857742619783
gradient_boosting,quantil_0.90,M0_sem_vetor,1,calibracao,198,31.810959231826992,0.691095690573976,56.563569262042165
gradient_boosting,quantil_0.90,M0_sem_vetor,4,avaliacao,109,193.91520766078634,0.7070284071826043,-11.249330342278808
gradient_boosting,quantil_0.90,M0_sem_vetor,4,calibracao,195,35.897073693292356,0.679577951619834,-16.06217344235755
gradient_boosting,quantil_0.90,M0_sem_vetor,8,avaliacao,109,187.8891465626065,0.7527838816106618,-223.05921734108867
gradient_boosting,quantil_0.90,M0_sem_vetor,8,calibracao,191,45.88825556990778,0.5298847652761408,-137.25132118107373
gradient_boosting,quantil_0.90,M0_sem_vetor,12,avaliacao,109,221.46550359227555,0.6514813597432668,-402.4973689200598
gradient_boosting,quantil_0.90,M0_sem_vetor,12,calibracao,187,44.51427262895044,0.5169418307393658,-162.052057895793
gradient_boosting,quantil_0.90,M1_com_vetor,1,avaliacao,102,102.4769341342912,0.9031312222375378,-102.95222409605594
gradient_boosting,quantil_0.90,M1_com_vetor,1,calibracao,193,29.274792289751403,0.7385510394296633,62.69314381358752
gradient_boosting,quantil_0.90,M1_com_vetor,4,avaliacao,102,175.4118257196906,0.7398620236143827,-120.29672906872113
gradient_boosting,quantil_0.90,M1_com_vetor,4,calibracao,190,38.75357345279927,0.6586665480884993,-66.1461481410195
gradient_boosting,quantil_0.90,M1_com_vetor,8,avaliacao,102,199.7353363262976,0.7188734588170946,-362.2748347045655
gradient_boosting,quantil_0.90,M1_com_vetor,8,calibracao,186,41.29174216834219,0.5584812504593795,-78.17863331161394
gradient_boosting,quantil_0.90,M1_com_vetor,12,avaliacao,102,188.6635745827953,0.7349974311913503,-381.7262172780841
gradient_boosting,quantil_0.90,M1_com_vetor,12,calibracao,182,39.335301284283325,0.6336723032716598,-155.95826764853126
hist_gradient_boosting,padrao,M0_sem_vetor,1,avaliacao,109,128.14977369445614,0.8330598380064834,-111.77135251210468
