pos,algoritmo,perda,conjunto,MAE_cal,dif_%,MAE_aval,R2_aval,vies_pico
1,hist_gradient_boosting,quantil_0.80,M1_com_vetor,33.18464559059502,0.0,158.33815137287678,0.78589004960376,-304.6582248528346
2,hist_gradient_boosting,quantil_0.85,M1_com_vetor,33.85019984954749,2.0056090613819855,157.31003124391293,0.7933198106108419,-268.499667579593
3,hist_gradient_boosting,quantil_0.70,M1_com_vetor,34.36305875064757,3.5510795401911155,163.03333071499864,0.7733225784305267,-326.33059889419724
4,gradient_boosting,quantil_0.70,M1_com_vetor,34.52605794407932,4.042268132176385,171.42816317745047,0.7580748037627059,-358.5604608047809
5,gradient_boosting,quantil_0.85,M1_com_vetor,34.987599171626655,5.433095785547937,162.77892734429358,0.7932499081732194,-251.39346141839127
6,gradient_boosting,quantil_0.80,M1_com_vetor,35.85087526138449,8.034528087728376,163.7616505022209,0.7847624251921596,-308.3598388232768
7,hist_gradient_boosting,quantil_0.90,M1_com_vetor,36.772007913387455,10.810307776223915,168.48100615158953,0.7662131607341814,-258.8421207632948
8,gradient_boosting,quantil_0.90,M1_com_vetor,37.16385229879405,11.991108048255871,166.57191769076866,0.7742160339650914,-241.81250128685667
9,gradient_boosting,quantil_0.85,M0_sem_vetor,37.49916755579983,13.001561078680336,175.90850465298826,0.7586459787064274,-190.58233353073445
10,gradient_boosting,padrao,M0_sem_vetor,37.76339129902622,13.7977839658739,181.96774827632638,0.7134451169458852,-333.9716692517898
11,gradient_boosting,quantil_0.70,M0_sem_vetor,37.784237168426216,13.86060178124906,172.456256293081,0.7370321210433188,-314.1720707064148
12,hist_gradient_boosting,quantil_0.85,M0_sem_vetor,37.98835864158598,14.47570997218184,166.58534425654895,0.7799146505896579,-213.44607200806695
13,gradient_boosting,padrao,M1_com_vetor,38.022702901053314,14.579204401174817,173.4045198111995,0.7315792439950997,-391.0736135919445
14,hist_gradient_boosting,quantil_0.70,M0_sem_vetor,38.05885307535558,14.688140849519815,167.94798170350097,0.7563239430868753,-289.1810497327679
15,hist_gradient_boosting,quantil_0.80,M0_sem_vetor,38.18983585409313,15.082849837385792,170.62797968790522,0.7554023296326363,-254.9989965528969
16,gradient_boosting,quantil_0.80,M0_sem_vetor,38.236371278549505,15.22308163323045,173.02548911476828,0.7482931415561811,-270.5709101162018
17,hist_gradient_boosting,padrao,M0_sem_vetor,38.526459892580974,16.097246804708675,177.13220563059153,0.7136770624924964,-317.483174938419
18,lightgbm,padrao,M1_com_vetor,38.660527673044434,16.50125226590142,199.47137073513184,0.6790207219263659,-464.02504036909977
19,gradient_boosting,quantil_0.90,M0_sem_vetor,39.52764028099439,19.1142456925834,180.50783008282605,0.7422518519017747,-146.63003558536224
20,hist_gradient_boosting,padrao,M1_com_vetor,39.87506589300388,20.161192573667307,167.51272610736274,0.7469242841151467,-361.92090319447476
21,hist_gradient_boosting,quantil_0.90,M0_sem_vetor,40.09475025274889,20.82319861843662,176.0098574763024,0.7541662435740641,-173.76560412848232
22,lightgbm,quantil_0.70,M1_com_vetor,42.111622946473524,26.90092721197701,187.42549421699067,0.7102421071337162,-414.39529299234596
23,lightgbm,padrao,M0_sem_vetor,42.53363213578563,28.172627366676608,203.2687643912901,0.6511397087830779,-433.17098198055
24,lightgbm,quantil_0.80,M1_com_vetor,44.35978680223747,33.675638274134954,167.9760304611745,0.7798463643854725,-294.69165752951045
25,lightgbm,quantil_0.80,M0_sem_vetor,44.537597211459804,34.21145960372218,176.03532430768442,0.7529549647960053,-276.7027889744383
26,lightgbm,quantil_0.70,M0_sem_vetor,45.05856904391664,35.781377929456795,192.60968949507276,0.6890164041474095,-403.6045655039712
27,lightgbm,quantil_0.85,M0_sem_vetor,47.27888397302784,42.472167870394,175.04892451820717,0.7654203133639685,-201.79336636825474
28,lightgbm,quantil_0.90,M0_sem_vetor,49.66192144086876,49.65331272045776,178.20611340729036,0.7569199828049145,-142.41280825099608
29,lightgbm,quantil_0.85,M1_com_vetor,49.68072759246763,49.709983964836525,156.8778767209951,0.8095202640862122,-227.95957127648597
30,lightgbm,quantil_0.90,M1_com_vetor,53.65105101287125,61.6743227418306,162.33457928997447,0.7923322834547164,-173.05137857063932
