h,data_alvo,real,pred,algoritmo,perda,conjunto
1,2021-05-16,5.0,8.103041338476885,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-05-23,0.0,6.773263586517276,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-05-30,1.0,2.2605315589155537,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-06-06,1.0,1.1437944732660534,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-06-13,0.0,0.33474219751395423,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-06-20,0.0,0.04993049678145116,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-06-27,0.0,0.15829601409358804,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-07-04,1.0,0.13754160061104712,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-07-11,0.0,0.21264607133095859,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-07-18,1.0,0.06912535622245045,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-07-25,0.0,0.5406891129495218,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-08-01,0.0,0.7464446564010176,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-08-08,0.0,0.09192094966068205,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-08-15,0.0,0.546497441405512,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-08-22,0.0,0.0,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-08-29,0.0,0.0,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-09-05,0.0,0.04815014318414385,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-09-12,0.0,0.0,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-09-19,0.0,0.048692379484308684,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-09-26,0.0,0.019406612624593308,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-10-03,0.0,0.1328921183655805,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-10-10,0.0,0.08089893183882345,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-10-17,0.0,0.0,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-10-24,0.0,0.06957250953977202,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-10-31,0.0,0.11332316757854657,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-11-07,0.0,0.03383257522592634,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-11-14,0.0,0.2679994699051989,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-11-21,0.0,0.18812164276413906,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-11-28,0.0,0.13827542030517032,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-12-05,1.0,0.06107180545371329,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-12-12,0.0,0.3216677032662896,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-12-19,0.0,0.8455324795199834,hist_gradient_boosting,padrao,M0_sem_vetor
1,2021-12-26,0.0,0.10014525482436835,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-01-02,1.0,1.0994392706368894,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-01-09,0.0,0.4470363582290868,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-01-16,2.0,0.3468710144166508,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-01-23,0.0,2.0449214992473457,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-01-30,1.0,1.397498522169219,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-02-06,2.0,0.42785935764707345,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-02-13,9.0,1.8029507545428822,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-02-20,20.0,10.754285663768817,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-02-27,51.0,20.28085832144808,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-03-06,203.0,46.282047382913234,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-03-13,269.0,62.748161108487544,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-03-20,463.0,72.77913803724981,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-03-27,482.0,384.9028377014413,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-04-03,524.0,322.7328138060362,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-04-10,753.0,402.648023667648,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-04-17,879.0,584.203379511656,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-04-24,569.0,812.9616969936375,hist_gradient_boosting,padrao,M0_sem_vetor
1,2022-05-01,344.0,604.5033315221004,hist_gradient_boosting,padrao,M0_sem_vetor
