algoritmo,perda,h,n_pareado,MAE_sem,MAE_com,ganho,p_bruto,p_holm_60,sig
gradient_boosting,padrao,1,102,103.76141217859521,113.23496634248148,-9.473554163886277,0.8835427626458713,1.0,False
gradient_boosting,padrao,4,102,183.96842064919528,184.15581285983308,-0.1873922106377961,0.503564361772232,1.0,False
gradient_boosting,padrao,8,102,206.2980101272628,187.7656904560201,18.532319671242703,0.27563390632880985,1.0,False
gradient_boosting,padrao,12,102,229.79637738321165,208.46160958646328,21.334767796748366,0.3186170762411417,1.0,False
gradient_boosting,quantil_0.70,1,102,98.76365377998944,114.7887040177677,-16.02505023777826,0.9779919341473159,1.0,False
gradient_boosting,quantil_0.70,4,102,183.6543063721863,189.69256880426306,-6.038262432076749,0.6159536033783102,1.0,False
gradient_boosting,quantil_0.70,8,102,186.81619196215547,193.21919715781877,-6.403005195663297,0.6271380895967819,1.0,False
gradient_boosting,quantil_0.70,12,102,222.25418353975707,188.0121827299524,34.242000809804665,0.12010501972340133,1.0,False
gradient_boosting,quantil_0.80,1,102,96.25763443900605,113.70353153665133,-17.445897097645272,0.9862690901639668,1.0,False
gradient_boosting,quantil_0.80,4,102,174.79526232385376,167.4565244383202,7.338737885533561,0.28789638477523466,1.0,False
gradient_boosting,quantil_0.80,8,102,184.11495038558164,185.47747895832268,-1.3625285727410414,0.5269568646467593,1.0,False
gradient_boosting,quantil_0.80,12,102,231.49425214135138,188.40906707558946,43.08518506576192,0.1574785707962495,1.0,False
gradient_boosting,quantil_0.85,1,102,91.9305254670557,108.11407606779373,-16.18355060073803,0.9866167807241839,1.0,False
gradient_boosting,quantil_0.85,4,102,183.6879985901055,157.59375323923436,26.094245350871148,0.014210314268002967,0.8384085418121751,False
gradient_boosting,quantil_0.85,8,102,189.5674316720482,201.98837945991588,-12.420947787867675,0.614829153658768,1.0,False
gradient_boosting,quantil_0.85,12,102,222.70749865569687,183.41950061023036,39.28799804546651,0.036666814696645386,1.0,False
gradient_boosting,quantil_0.90,1,102,93.29145235020911,102.4769341342912,-9.185481784082086,0.8751078242613847,1.0,False
gradient_boosting,quantil_0.90,4,102,182.53127924977284,175.4118257196906,7.1194535300822395,0.3460381149390317,1.0,False
gradient_boosting,quantil_0.90,8,102,185.78423650292666,199.7353363262976,-13.951099823370953,0.6155169945765651,1.0,False
gradient_boosting,quantil_0.90,12,102,228.42839460862652,188.6635745827953,39.76482002583123,0.061051428417165675,1.0,False
hist_gradient_boosting,padrao,1,102,102.19446725037024,113.01363260483768,-10.819165354467444,0.8872769561143665,1.0,False
hist_gradient_boosting,padrao,4,102,182.62658894031594,170.49489957515573,12.131689365160213,0.2873082093750465,1.0,False
hist_gradient_boosting,padrao,8,102,212.666039048924,183.13486013687196,29.53117891205204,0.21961878222827338,1.0,False
hist_gradient_boosting,padrao,12,102,205.2970044858126,203.40751211258555,1.889492373227057,0.48166616864056616,1.0,False
hist_gradient_boosting,quantil_0.70,1,102,94.57762815869572,103.48693457921073,-8.909306420515009,0.9064485601522688,1.0,False
hist_gradient_boosting,quantil_0.70,4,102,186.0109416231072,179.274500496693,6.736441126414178,0.29208617968880574,1.0,False
hist_gradient_boosting,quantil_0.70,8,102,191.60021899197906,188.10701207864994,3.493206913329118,0.4420949981691111,1.0,False
hist_gradient_boosting,quantil_0.70,12,102,196.9843143880056,181.26487570544086,15.719438682564743,0.3331009587868275,1.0,False
hist_gradient_boosting,quantil_0.80,1,102,94.6395071392349,101.2661968809794,-6.626689741744499,0.7912512559640493,1.0,False
hist_gradient_boosting,quantil_0.80,4,102,187.71786408817627,168.39821130849361,19.319652779682656,0.050627796170092075,1.0,False
hist_gradient_boosting,quantil_0.80,8,102,182.05112273301518,184.03992502019227,-1.9888022871770943,0.5276718694956696,1.0,False
hist_gradient_boosting,quantil_0.80,12,102,214.32244239791137,179.64827228184186,34.67417011606952,0.030500485055061755,1.0,False
hist_gradient_boosting,quantil_0.85,1,102,91.98275281555958,97.98708193004315,-6.004329114483568,0.7355902360504543,1.0,False
hist_gradient_boosting,quantil_0.85,4,102,180.56815109115757,168.70657870245495,11.861572388702626,0.16647646216123557,1.0,False
hist_gradient_boosting,quantil_0.85,8,102,179.01091798005945,178.34769275839315,0.6632252216662948,0.49106382526977543,1.0,False
hist_gradient_boosting,quantil_0.85,12,102,199.0345246572075,184.1987715847604,14.83575307244709,0.23981065953574515,1.0,False
hist_gradient_boosting,quantil_0.90,1,102,98.70613461868577,107.34653484310009,-8.640400224414321,0.8323145028399498,1.0,False
hist_gradient_boosting,quantil_0.90,4,102,180.89211492490497,174.86300523918317,6.0291096857218065,0.40036426620077176,1.0,False
hist_gradient_boosting,quantil_0.90,8,102,187.95146553290553,196.62518861208238,-8.673723079176852,0.5847450623292365,1.0,False
hist_gradient_boosting,quantil_0.90,12,102,207.60607276056714,195.08929591199248,12.516776848574665,0.0024972410763998225,0.14983446458398936,False
lightgbm,padrao,1,102,160.45215362724463,174.216467272857,-13.764313645612361,0.8850694350292897,1.0,False
lightgbm,padrao,4,102,208.97193755846817,222.90468462602158,-13.932747067553407,0.9252506387821334,1.0,False
lightgbm,padrao,8,102,221.30092787672532,204.00441199666858,17.296515880056745,0.13458769413815208,1.0,False
lightgbm,padrao,12,102,249.12334402495998,196.7599190449802,52.36342497997978,0.06746978797406696,1.0,False
lightgbm,quantil_0.70,1,102,155.10487427245056,175.78246533727784,-20.677591064827283,0.9911633762686897,1.0,False
lightgbm,quantil_0.70,4,102,193.3484851916468,193.91986020712298,-0.5713750154761783,0.5211753082534484,1.0,False
lightgbm,quantil_0.70,8,102,210.9227174455755,193.72567642893705,17.19704101663845,0.016699362445868234,0.9685630218603576,False
lightgbm,quantil_0.70,12,102,239.4228847899341,186.2739748946249,53.1489098953092,0.06723298209680682,1.0,False
lightgbm,quantil_0.80,1,102,140.1714434922221,154.65416311899975,-14.482719626777651,0.9580869716412745,1.0,False
lightgbm,quantil_0.80,4,102,179.27846777652223,173.11715696496248,6.161310811559758,0.34628056961994785,1.0,False
lightgbm,quantil_0.80,8,102,180.69791564181986,176.98870316232063,3.7092124794992287,0.3620102799143206,1.0,False
lightgbm,quantil_0.80,12,102,211.4632827044101,167.14409859841513,44.319184105994964,0.026898968673992926,1.0,False
lightgbm,quantil_0.85,1,102,125.1804150321081,132.87165350818944,-7.691238476081338,0.8834332424224607,1.0,False
lightgbm,quantil_0.85,4,102,177.96085865818884,160.63651579743737,17.32434286075147,0.10623447713521132,1.0,False
lightgbm,quantil_0.85,8,102,176.89641270196864,162.35436027826742,14.542052423701222,0.2503343358533444,1.0,False
lightgbm,quantil_0.85,12,102,209.05855758130005,171.6489773000861,37.40958028121395,0.03069826523285737,1.0,False
lightgbm,quantil_0.90,1,102,111.71551686496962,133.86745857189987,-22.15194170693026,0.989792413823505,1.0,False
lightgbm,quantil_0.90,4,102,178.24687506280793,162.69077692670152,15.556098136106414,0.19741062172967683,1.0,False
lightgbm,quantil_0.90,8,102,181.39820748083937,173.527004670538,7.871202810301384,0.3575220166320348,1.0,False
lightgbm,quantil_0.90,12,102,212.8203326336527,179.25307699075853,33.56725564289417,0.08314501832298114,1.0,False
