algoritmo,pctl,h,n,n_pos,clima_certo_vetor_errado,vetor_certo_clima_errado,p
lightgbm,90,4,287,69,9,9,1.0
lightgbm,90,8,283,70,5,10,0.302
lightgbm,90,12,279,69,4,24,0.0
lightgbm,95,4,288,47,11,7,0.481
lightgbm,95,8,283,46,5,11,0.21
lightgbm,95,12,279,46,5,17,0.017
