algoritmo,n,n_pos,tp,fp,fn,tn,sensib,espec,precisao,f1,bal_acc,auc,ap,exp,pctl,h,modelo
lightgbm,565,116,1,1,115,448,0.008620689655172414,0.9977728285077951,0.5,0.01694915254237288,0.5031967590814838,0.8440403962829277,0.454323522302758,surto_notificados,90,4,sazonal
lightgbm,565,116,81,10,35,439,0.6982758620689655,0.977728285077951,0.8901098901098901,0.782608695652174,0.8380020735734582,0.9576645418938637,0.874746794798715,surto_notificados,90,4,so-clima
lightgbm,565,116,83,12,33,437,0.7155172413793104,0.9732739420935412,0.8736842105263158,0.7867298578199052,0.8443955917364259,0.9529798018585363,0.8534908870099327,surto_notificados,90,4,clima+vetor
lightgbm,559,115,1,1,114,443,0.008695652173913044,0.9977477477477478,0.5,0.017094017094017096,0.5032216999608304,0.8485605170387779,0.4636227169407235,surto_notificados,90,8,sazonal
lightgbm,559,115,67,16,48,428,0.5826086956521739,0.963963963963964,0.8072289156626506,0.6767676767676768,0.773286329808069,0.9070113591852723,0.7559655136727006,surto_notificados,90,8,so-clima
lightgbm,559,115,65,19,50,425,0.5652173913043478,0.9572072072072072,0.7738095238095238,0.6532663316582915,0.7612122992557775,0.9220524872698785,0.7645541512709829,surto_notificados,90,8,clima+vetor
lightgbm,553,113,0,1,113,439,0.0,0.9977272727272727,0.0,0.0,0.49886363636363634,0.8357602574416734,0.4418427236582418,surto_notificados,90,12,sazonal
lightgbm,553,113,51,16,62,424,0.45132743362831856,0.9636363636363636,0.7611940298507462,0.5666666666666667,0.7074818986323411,0.9023330651649235,0.6467207357818365,surto_notificados,90,12,so-clima
lightgbm,553,113,51,20,62,420,0.45132743362831856,0.9545454545454546,0.7183098591549296,0.5543478260869565,0.7029364440868866,0.9009050683829445,0.6516217667465696,surto_notificados,90,12,clima+vetor
lightgbm,568,75,0,0,75,493,0.0,1.0,,0.0,0.5,0.8801893171061528,0.3857459753395482,surto_notificados,95,4,sazonal
lightgbm,568,75,47,12,28,481,0.6266666666666667,0.9756592292089249,0.7966101694915254,0.7014925373134329,0.8011629479377957,0.965814739688979,0.8386424659854013,surto_notificados,95,4,so-clima
lightgbm,568,75,47,18,28,475,0.6266666666666667,0.9634888438133874,0.7230769230769231,0.6714285714285714,0.795077755240027,0.9525625422582827,0.7982681394857084,surto_notificados,95,4,clima+vetor
lightgbm,560,76,0,0,76,484,0.0,1.0,,0.0,0.5,0.8800837320574163,0.3997348200189487,surto_notificados,95,8,sazonal
lightgbm,560,76,27,12,49,472,0.35526315789473684,0.9752066115702479,0.6923076923076923,0.46956521739130436,0.6652348847324924,0.9161320139190953,0.6133280385079811,surto_notificados,95,8,so-clima
lightgbm,560,76,24,12,52,472,0.3157894736842105,0.9752066115702479,0.6666666666666666,0.42857142857142855,0.6454980426272292,0.9109667246628969,0.580462470146196,surto_notificados,95,8,clima+vetor
lightgbm,554,76,0,0,76,478,0.0,1.0,,0.0,0.5,0.8772159216031711,0.3924154995280602,surto_notificados,95,12,sazonal
lightgbm,554,76,20,10,56,468,0.2631578947368421,0.9790794979079498,0.6666666666666666,0.37735849056603776,0.6211186963223959,0.8946817881523893,0.5407426996499809,surto_notificados,95,12,so-clima
lightgbm,554,76,21,15,55,463,0.27631578947368424,0.9686192468619247,0.5833333333333334,0.375,0.6224675181678044,0.8969940541730896,0.5144212285980344,surto_notificados,95,12,clima+vetor
