algoritmo,h,semente,n,MAE_sem,MAE_com,ganho,IC95_inf,IC95_sup,IC_exclui_zero,DM_p_bruto
gradient_boosting,8,42,102,184.11495038558164,185.47747895832268,-1.3625285727410084,-32.93271986143866,30.604331828275214,False,0.5269568646467591
gradient_boosting,8,101,102,185.23795407446377,180.75918578807799,4.478768286385783,-36.85614709785586,44.69027423214612,False,0.4344820242363073
gradient_boosting,8,202,102,177.96188124130862,183.14727268108314,-5.185391439774597,-47.78434162663367,36.955189362293254,False,0.5717478395894252
gradient_boosting,8,303,102,181.28903468944964,188.72547062575867,-7.436435936308957,-41.37896342774359,21.148533321967207,False,0.6380803096574694
gradient_boosting,8,404,102,176.93452799724093,178.257068367688,-1.3225403704470349,-43.66767526988645,47.3062731990572,False,0.517796708850492
gradient_boosting,12,42,102,231.49425214135138,188.40906707558946,43.08518506576187,-10.29918608814614,118.30227641361307,False,0.1574785707962495
gradient_boosting,12,101,102,215.21052266901535,191.66198267887683,23.548539990138533,-15.04911352992517,69.74911900799563,False,0.17535226105964746
gradient_boosting,12,202,102,224.9947106156095,188.24692670467897,36.747783910930565,-10.709351563179494,100.27480784060302,False,0.16795007502054396
gradient_boosting,12,303,102,223.59048531005865,191.19642866013592,32.39405664992275,-15.659196983666549,94.44033509193163,False,0.17790212618234294
gradient_boosting,12,404,102,218.7738501703152,186.88016538256582,31.893684787749386,-13.780089100466641,95.48823663688009,False,0.19849829352219275
hist_gradient_boosting,8,42,102,182.05112273301518,184.03992502019227,-1.9888022871771376,-45.39483096975567,38.56946518872804,False,0.5276718694956695
hist_gradient_boosting,8,101,102,182.05112273301518,184.03992502019227,-1.9888022871771376,-45.544596717197486,38.56471105301625,False,0.5276718694956695
hist_gradient_boosting,8,202,102,182.05112273301518,184.03992502019227,-1.9888022871771376,-44.07800175900855,37.33105299376972,False,0.5276718694956695
hist_gradient_boosting,8,303,102,182.05112273301518,184.03992502019227,-1.9888022871771376,-42.132371436575845,38.82756657280584,False,0.5276718694956695
hist_gradient_boosting,8,404,102,182.05112273301518,184.03992502019227,-1.9888022871771376,-46.74193014800422,38.47663291140892,False,0.5276718694956695
hist_gradient_boosting,12,42,102,214.32244239791137,179.64827228184186,34.67417011606951,3.863347596075468,72.33663104656421,True,0.030500485055061755
hist_gradient_boosting,12,101,102,214.32244239791137,179.64827228184186,34.67417011606951,3.516475079490476,70.86977430664368,True,0.030500485055061755
hist_gradient_boosting,12,202,102,214.32244239791137,179.64827228184186,34.67417011606951,5.104352885348391,69.7057389402106,True,0.030500485055061755
hist_gradient_boosting,12,303,102,214.32244239791137,179.64827228184186,34.67417011606951,4.8346535830199935,70.43409092849605,True,0.030500485055061755
hist_gradient_boosting,12,404,102,214.32244239791137,179.64827228184186,34.67417011606951,4.128514321198127,72.26942663492164,True,0.030500485055061755
lightgbm,8,42,102,180.69791564181986,176.98870316232066,3.709212479499178,-11.056587873492047,23.441925361104637,False,0.3620102799143209
lightgbm,8,101,102,180.69791564181986,176.98870316232066,3.709212479499178,-11.615857746735463,22.102948910912907,False,0.3620102799143209
lightgbm,8,202,102,180.69791564181986,176.98870316232066,3.709212479499178,-10.804474112006188,23.00122621649669,False,0.3620102799143209
lightgbm,8,303,102,180.69791564181986,176.98870316232066,3.709212479499178,-10.845946150237442,22.454273577869447,False,0.3620102799143209
lightgbm,8,404,102,180.69791564181986,176.98870316232066,3.709212479499178,-10.910666441678774,21.867894893793032,False,0.3620102799143209
lightgbm,12,42,102,211.4632827044101,167.14409859841513,44.31918410599492,13.545404626471804,85.81418159250181,True,0.026898968673992926
lightgbm,12,101,102,211.4632827044101,167.14409859841513,44.31918410599492,15.601008858059295,86.50592386403336,True,0.026898968673992926
lightgbm,12,202,102,211.4632827044101,167.14409859841513,44.31918410599492,15.423618931422794,85.31374403704609,True,0.026898968673992926
lightgbm,12,303,102,211.4632827044101,167.14409859841513,44.31918410599492,14.373401253016034,88.02487167116752,True,0.026898968673992926
lightgbm,12,404,102,211.4632827044101,167.14409859841513,44.31918410599492,15.035970701627203,86.8928777609232,True,0.026898968673992926
