algoritmo,h,n,MAE_sem,MAE_com,ganho_medio,ganho_min,ganho_max,sementes_com_ganho,sementes_com_IC_excluindo_zero,DM_p_mediano,DM_p_holm_6,significativo
gradient_boosting,8,102,181.10766967760892,183.27329528418608,-2.165625606577163,-7.436435936308957,4.478768286385783,1,0,0.5269568646467591,1.0,False
gradient_boosting,12,102,222.81276418126998,189.2789141003694,33.53385008090062,23.548539990138533,43.08518506576187,5,0,0.17535226105964746,0.7014090442385899,False
hist_gradient_boosting,8,102,182.05112273301518,184.03992502019227,-1.9888022871771376,-1.9888022871771376,-1.9888022871771376,0,0,0.5276718694956695,1.0,False
hist_gradient_boosting,12,102,214.3224423979114,179.64827228184186,34.67417011606951,34.67417011606951,34.67417011606951,5,5,0.030500485055061755,0.16139381204395756,False
lightgbm,8,102,180.69791564181986,176.98870316232066,3.709212479499178,3.709212479499178,3.709212479499178,5,0,0.3620102799143209,1.0,False
lightgbm,12,102,211.4632827044101,167.14409859841513,44.31918410599492,44.31918410599492,44.31918410599492,5,5,0.026898968673992926,0.16139381204395756,False
