h,n_semanas,semanas_surto,episodios,sensibilidade,precisao,inicios_pegos,atraso_mediano,falsos_por_ano,captura_pico_antiga
1,102,32,2,0.96875,0.9117647058823529,2/2,0.0,1.0,0.8863463192547891
4,102,34,2,0.9705882352941176,0.9428571428571428,1/2,0.5,0.6666666666666666,0.7021006649004014
8,102,38,2,0.8157894736842105,0.8611111111111112,0/2,2.5,1.6666666666666667,0.41659081713594714
12,102,39,2,0.7692307692307693,0.8108108108108109,1/2,1.0,2.3333333333333335,0.3883917696347942
