ID;Local;Ano;Semana;Data Inicio;Data Fim;Latitude;Longitude;Aedes aegypti;Aedes albopictus;Culex sp;Precipitation;Temperature;Relative humidity;Mes
2028062;MARIO QUINTANA;2022;1;2022-01-02;2022-01-08;-30.029;-51.110;3;0;0;;;;1
2028063;MARIO QUINTANA;2022;1;2022-01-02;2022-01-08;-30.038;-51.107;0;0;0;;;;1
2028064;COSTA E SILVA;2022;1;2022-01-02;2022-01-08;-30.011;-51.113;0;0;0;;;;1
2028065;MARIO QUINTANA;2022;1;2022-01-02;2022-01-08;-30.040;-51.104;0;0;0;;;;1
2028066;SANTA ROSA DE LIMA;2022;1;2022-01-02;2022-01-08;-30.000;-51.102;1;0;0;;;;1
2028067;COSTA E SILVA;2022;1;2022-01-02;2022-01-08;-30.014;-51.114;2;0;0;;;;1
2028068;MARIO QUINTANA;2022;1;2022-01-02;2022-01-08;-30.037;-51.105;0;0;0;;;;1
2028069;MARIO QUINTANA;2022;1;2022-01-02;2022-01-08;-30.031;-51.113;1;0;0;;;;1
2028070;MARIO QUINTANA;2022;1;2022-01-02;2022-01-08;-30.030;-51.106;0;0;0;;;;1
2028071;COSTA E SILVA;2022;1;2022-01-02;2022-01-08;-30.005;-51.120;0;0;0;;;;1
2028072;JARDIM LEOPOLDINA;2022;1;2022-01-02;2022-01-08;-30.025;-51.118;0;0;0;;;;1
2028073;MARIO QUINTANA;2022;1;2022-01-02;2022-01-08;-30.031;-51.117;0;0;0;;;;1
2028074;MARIO QUINTANA;2022;1;2022-01-02;2022-01-08;-30.033;-51.107;2;0;0;;;;1
2028075;RUBEM BERTA;2022;1;2022-01-02;2022-01-08;-30.019;-51.097;0;0;0;;;;1
2028076;MARIO QUINTANA;2022;1;2022-01-02;2022-01-08;-30.036;-51.113;1;0;0;;;;1
2028077;MARIO QUINTANA;2022;1;2022-01-02;2022-01-08;-30.021;-51.097;0;0;0;;;;1
2028078;MARIO QUINTANA;2022;1;2022-01-02;2022-01-08;-30.023;-51.096;3;0;0;;;;1
