ID;Local;Ano;Semana;Data Inicio;Data Fim;Latitude;Longitude;Aedes aegypti;Aedes albopictus;Culex sp;Precipitation;Temperature;Relative humidity;Mes
2566292;PETROPOLIS;2023;1;2023-01-01;2023-01-07;-30.053;-51.146;0;0;0;;;;1
2566293;VILA JOAO PESSOA;2023;1;2023-01-01;2023-01-07;-30.063;-51.175;0;0;0;;;;1
2566294;VILA JOAO PESSOA;2023;1;2023-01-01;2023-01-07;-30.064;-51.172;0;0;0;;;;1
2566295;VILA JOAO PESSOA;2023;1;2023-01-01;2023-01-07;-30.072;-51.171;0;0;0;;;;1
2566296;VILA JOAO PESSOA;2023;1;2023-01-01;2023-01-07;-30.067;-51.171;0;0;0;;;;1
2566297;VILA JOAO PESSOA;2023;1;2023-01-01;2023-01-07;-30.070;-51.174;0;0;0;;;;1
2566298;VILA JOAO PESSOA;2023;1;2023-01-01;2023-01-07;-30.070;-51.171;0;0;0;;;;1
2566299;PARTENON;2023;1;2023-01-01;2023-01-07;-30.069;-51.168;0;0;0;;;;1
2566300;VILA JOAO PESSOA;2023;1;2023-01-01;2023-01-07;-30.073;-51.174;0;0;0;;;;1
2566301;VILA JOAO PESSOA;2023;1;2023-01-01;2023-01-07;-30.067;-51.174;0;0;0;;;;1
2566302;PARTENON;2023;1;2023-01-01;2023-01-07;-30.069;-51.165;0;0;0;;;;1
2566303;VILA JOAO PESSOA;2023;1;2023-01-01;2023-01-07;-30.064;-51.178;0;0;0;;;;1
2566304;VILA SAO JOSE;2023;1;2023-01-01;2023-01-07;-30.070;-51.162;0;0;0;;;;1
2566305;PARTENON;2023;1;2023-01-01;2023-01-07;-30.064;-51.180;0;0;0;;;;1
2566306;PARTENON;2023;1;2023-01-01;2023-01-07;-30.066;-51.159;0;0;0;;;;1
2566307;APARICIO BORGES;2023;1;2023-01-01;2023-01-07;-30.070;-51.184;0;0;0;;;;1
2566308;VILA SAO JOSE;2023;1;2023-01-01;2023-01-07;-30.062;-51.167;0;0;0;;;;1
2566309;APARICIO BORGES;2023;1;2023-01-01;2023-01-07;-30.067;-51.180;0;0;0;;;;1
2566310;VILA JOAO PESSOA;2023;1;2023-01-01;2023-01-07;-30.067;-51.178;0;0;0;;;;1
2566311;VILA SAO JOSE;2023;1;2023-01-01;2023-01-07;-30.065;-51.162;0;0;0;;;;1
2566312;VILA JOAO PESSOA;2023;1;2023-01-01;2023-01-07;-30.070;-51.178;0;0;0;;;;1
2566313;VILA SAO JOSE;2023;1;2023-01-01;2023-01-07;-30.064;-51.165;0;0;0;;;;1
2566314;APARICIO BORGES;2023;1;2023-01-01;2023-01-07;-30.072;-51.177;0;0;0;;;;1
2566315;PARTENON;2023;1;2023-01-01;2023-01-07;-30.065;-51.168;0;0;0;;;;1
2566316;VILA SAO JOSE;2023;1;2023-01-01;2023-01-07;-30.067;-51.162;0;0;0;;;;1
2566317;VILA SAO JOSE;2023;1;2023-01-01;2023-01-07;-30.067;-51.168;0;0;0;;;;1
2566318;VILA SAO JOSE;2023;1;2023-01-01;2023-01-07;-30.073;-51.169;0;0;0;;;;1
2566319;APARICIO BORGES;2023;1;2023-01-01;2023-01-07;-30.073;-51.181;0;0;0;;;;1
2566320;PARTENON;2023;1;2023-01-01;2023-01-07;-30.067;-51.165;0;0;0;;;;1
2566321;PARTENON;2023;1;2023-01-01;2023-01-07;-30.067;-51.187;0;0;0;;;;1
2566322;APARICIO BORGES;2023;1;2023-01-01;2023-01-07;-30.075;-51.184;0;0;0;;;;1
2566323;PETROPOLIS;2023;1;2023-01-01;2023-01-07;-30.048;-51.184;0;0;0;;;;1
2566324;APARICIO BORGES;2023;1;2023-01-01;2023-01-07;-30.070;-51.187;0;0;0;;;;1
2566325;APARICIO BORGES;2023;1;2023-01-01;2023-01-07;-30.070;-51.180;0;0;0;;;;1
2566326;APARICIO BORGES;2023;1;2023-01-01;2023-01-07;-30.072;-51.184;0;0;0;;;;1
2566327;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.053;-51.187;0;0;0;;;;1
2566328;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.050;-51.168;0;0;0;;;;1
2566329;APARICIO BORGES;2023;1;2023-01-01;2023-01-07;-30.067;-51.184;0;0;0;;;;1
2566330;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.051;-51.183;0;0;0;;;;1
2566331;JARDIM CARVALHO;2023;1;2023-01-01;2023-01-07;-30.063;-51.149;0;0;0;;;;1
2566332;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.048;-51.187;0;0;0;;;;1
2566333;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.054;-51.184;0;0;0;;;;1
2566334;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.048;-51.174;0;0;0;;;;1
2566335;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.056;-51.184;0;0;0;;;;1
2566336;JARDIM DO SALSO;2023;1;2023-01-01;2023-01-07;-30.051;-51.164;0;0;0;;;;1
2566337;JARDIM DO SALSO;2023;1;2023-01-01;2023-01-07;-30.053;-51.162;0;0;0;;;;1
2566338;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.054;-51.181;0;0;0;;;;1
2566339;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.056;-51.180;0;0;0;;;;1
2566340;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.051;-51.187;0;0;0;;;;1
2566341;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.055;-51.175;0;0;0;;;;1
2566342;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.054;-51.172;0;0;0;;;;1
2566343;JARDIM BOTANICO;2023;1;2023-01-01;2023-01-07;-30.057;-51.177;0;0;0;;;;1
2566344;JARDIM CARVALHO;2023;1;2023-01-01;2023-01-07;-30.046;-51.140;0;0;0;;;;1
2566345;JARDIM CARVALHO;2023;1;2023-01-01;2023-01-07;-30.044;-51.137;0;0;0;;;;1
2566346;JARDIM CARVALHO;2023;1;2023-01-01;2023-01-07;-30.048;-51.143;0;0;0;;;;1
2566347;JARDIM CARVALHO;2023;1;2023-01-01;2023-01-07;-30.048;-51.149;0;0;0;;;;1
2566348;JARDIM CARVALHO;2023;1;2023-01-01;2023-01-07;-30.048;-51.146;0;0;0;;;;1
2566349;BOM JESUS;2023;1;2023-01-01;2023-01-07;-30.049;-51.162;0;0;0;;;;1
2566350;JARDIM CARVALHO;2023;1;2023-01-01;2023-01-07;-30.056;-51.149;0;0;0;;;;1
2566351;JARDIM CARVALHO;2023;1;2023-01-01;2023-01-07;-30.056;-51.152;0;0;0;;;;1
2566352;JARDIM CARVALHO;2023;1;2023-01-01;2023-01-07;-30.058;-51.146;0;0;0;;;;1
