ID;Local;Ano;Semana;Data Inicio;Data Fim;Latitude;Longitude;Aedes aegypti;Aedes albopictus;Culex sp;Precipitation;Temperature;Relative humidity;Mes
470960;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.103;-51.247;0;0;0;;;;12
470961;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.103;-51.250;0;0;1;;;;12
470962;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.105;-51.512;0;0;1;;;;12
470963;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.105;-51.250;0;0;0;;;;12
470964;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.103;-51.255;0;0;0;;;;12
470965;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.104;-51.257;0;0;0;;;;12
470966;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.104;-51.257;0;0;0;;;;12
470967;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.106;-51.253;0;0;0;;;;12
470968;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.102;-51.262;0;0;0;;;;12
470969;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.105;-51.255;0;0;0;;;;12
470970;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.102;-51.260;0;0;0;;;;12
470971;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.103;-51.259;0;0;0;;;;12
470972;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.107;-51.258;0;0;0;;;;12
470973;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.103;-51.263;0;0;0;;;;12
470974;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.107;-51.254;0;0;0;;;;12
470975;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.104;-51.260;0;0;0;;;;12
470976;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.107;-51.247;0;0;0;;;;12
470977;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.097;-51.255;0;0;0;;;;12
470978;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.107;-51.249;0;0;0;;;;12
470979;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.101;-51.251;0;0;0;;;;12
470980;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.098;-51.252;0;0;0;;;;12
470981;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.109;-51.252;0;0;0;;;;12
470982;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.099;-51.253;0;0;0;;;;12
470983;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.110;-51.256;0;0;0;;;;12
470984;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.097;-51.259;0;0;3;;;;12
470985;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.101;-51.252;0;0;0;;;;12
470986;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.101;-51.255;0;0;0;;;;12
470987;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.099;-51.255;0;0;0;;;;12
470988;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.100;-51.258;0;0;0;;;;12
470989;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.099;-51.261;0;0;0;;;;12
470990;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.110;-51.253;0;0;0;;;;12
470991;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.109;-51.245;0;0;0;;;;12
470992;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.109;-51.247;0;0;0;;;;12
470993;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.100;-51.239;1;0;0;;;;12
470994;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.100;-51.240;0;0;0;;;;12
470995;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.110;-51.251;0;0;0;;;;12
470996;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.101;-51.237;0;0;0;;;;12
470997;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.102;-51.123;0;0;0;;;;12
470998;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.112;-51.253;0;0;0;;;;12
470999;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.102;-51.242;0;0;0;;;;12
471000;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.113;-51.256;0;0;0;;;;12
471001;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.102;-51.244;0;0;0;;;;12
471002;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.104;-51.237;0;0;0;;;;12
471003;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.103;-51.245;0;0;0;;;;12
471004;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.106;-51.234;0;0;0;;;;12
471005;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.115;-51.258;0;0;0;;;;12
471006;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.104;-51.239;0;0;0;;;;12
471007;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.116;-51.254;0;0;0;;;;12
471008;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.106;-51.238;0;0;0;;;;12
471009;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.107;-51.242;0;0;0;;;;12
471010;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.115;-51.252;0;0;0;;;;12
471011;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.113;-51.250;0;0;0;;;;12
471012;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.116;-51.249;0;0;0;;;;12
471013;CAMAQUÃ;2019;1;2018-12-30;2019-01-05;-30.106;-51.244;0;0;0;;;;12
471014;CAVALHADA;2019;1;2018-12-30;2019-01-05;-30.112;-51.248;0;0;0;;;;12
