ID;Local;Ano;Semana;Data Inicio;Data Fim;Latitude;Longitude;Aedes aegypti;Aedes albopictus;Culex sp;Precipitation;Temperature;Relative humidity;Mes
993636;CAMAQUÃ;2020;1;2019-12-29;2020-01-04;-30.113;-51.240;0;0;0;;;;12
993637;CAMAQUÃ;2020;1;2019-12-29;2020-01-04;-30.110;-51.239;0;0;0;;;;12
993638;CAMAQUÃ;2020;1;2019-12-29;2020-01-04;-30.111;-51.236;1;0;0;;;;12
993639;VILA ASSUNCAO;2020;1;2019-12-29;2020-01-04;-30.101;-51.257;1;0;2;;;;12
993640;PEDRA REDONDA;2020;1;2019-12-29;2020-01-04;-30.122;-51.255;0;0;0;;;;12
993641;VILA CONCEICAO;2020;1;2019-12-29;2020-01-04;-30.117;-51.257;1;0;0;;;;12
993642;VILA CONCEICAO;2020;1;2019-12-29;2020-01-04;-30.118;-51.255;0;0;1;;;;12
993643;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.080;-51.224;0;0;0;;;;12
993644;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.081;-51.222;0;0;0;;;;12
993645;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.082;-51.225;0;0;0;;;;12
993646;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.079;-51.222;0;0;0;;;;12
993647;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.083;-51.228;0;0;0;;;;12
993648;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.084;-51.230;0;0;0;;;;12
993649;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.081;-51.229;0;0;0;;;;12
993650;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.062;-51.218;0;0;0;;;;12
993651;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.072;-51.228;0;0;0;;;;12
993652;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.064;-51.229;0;0;0;;;;12
993653;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.067;-51.231;0;0;0;;;;12
993654;CRISTAL;2020;1;2019-12-29;2020-01-04;-30.076;-51.241;0;0;0;;;;12
993655;CRISTAL;2020;1;2019-12-29;2020-01-04;-30.078;-51.242;0;0;0;;;;12
993656;CRISTAL;2020;1;2019-12-29;2020-01-04;-30.078;-51.237;0;0;0;;;;12
993657;CRISTAL;2020;1;2019-12-29;2020-01-04;-30.080;-51.237;0;0;0;;;;12
993658;CRISTAL;2020;1;2019-12-29;2020-01-04;-30.080;-51.235;0;0;0;;;;12
993659;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.077;-51.231;0;0;0;;;;12
993660;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.074;-51.231;0;0;0;;;;12
993661;SANTA TEREZA;2020;1;2019-12-29;2020-01-04;-30.081;-51.231;0;0;0;;;;12
993662;CRISTAL;2020;1;2019-12-29;2020-01-04;-30.082;-51.233;0;0;0;;;;12
993663;CRISTAL;2020;1;2019-12-29;2020-01-04;-30.079;-51.239;1;0;0;;;;12
993664;CRISTAL;2020;1;2019-12-29;2020-01-04;-30.077;-51.239;0;0;0;;;;12
