ID;Local;Ano;Semana;Data Inicio;Data Fim;Latitude;Longitude;Aedes aegypti;Aedes albopictus;Culex sp;Precipitation;Temperature;Relative humidity;Mes
1518495;JARDIM EUROPA;2021;1;2021-01-03;2021-01-09;-30.022;-51.161;0;0;0;;;;1
1518496;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.009;-51.178;0;0;0;;;;1
1518497;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.012;-51.178;2;0;0;;;;1
1518498;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.018;-51.165;2;0;0;;;;1
1518499;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.016;-51.163;1;0;0;;;;1
1518500;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.013;-51.168;1;0;8;;;;1
1518501;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.014;-51.166;1;0;0;;;;1
1518502;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.012;-51.163;0;0;6;;;;1
1518503;CRISTO REDENTOR;2021;1;2021-01-03;2021-01-09;-30.010;-51.158;1;0;1;;;;1
1518504;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.016;-51.167;0;0;12;;;;1
1518505;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.019;-51.164;0;0;0;;;;1
1518506;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.012;-51.175;1;0;0;;;;1
1518507;CRISTO REDENTOR;2021;1;2021-01-03;2021-01-09;-30.015;-51.154;1;0;0;;;;1
1518508;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.016;-51.169;1;0;10;;;;1
1518509;CRISTO REDENTOR;2021;1;2021-01-03;2021-01-09;-30.016;-51.160;0;0;0;;;;1
1518510;CRISTO REDENTOR;2021;1;2021-01-03;2021-01-09;-30.013;-51.161;0;0;0;;;;1
1518511;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.014;-51.177;0;0;0;;;;1
1518512;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.014;-51.173;3;0;4;;;;1
1518513;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.009;-51.180;0;0;0;;;;1
1518514;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.012;-51.173;0;0;0;;;;1
1518515;HIGIENÓPOLIS;2021;1;2021-01-03;2021-01-09;-30.013;-51.180;0;0;1;;;;1
1518516;BOA VISTA;2021;1;2021-01-03;2021-01-09;-30.020;-51.174;2;0;0;;;;1
1518517;BOA VISTA;2021;1;2021-01-03;2021-01-09;-30.022;-51.172;2;0;0;;;;1
1518518;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.007;-51.168;0;0;0;;;;1
1518519;JARDIM EUROPA;2021;1;2021-01-03;2021-01-09;-30.022;-51.156;0;0;0;;;;1
1518520;VILA IPIRANGA;2021;1;2021-01-03;2021-01-09;-30.020;-51.159;0;0;0;;;;1
1518521;VILA IPIRANGA;2021;1;2021-01-03;2021-01-09;-30.018;-51.158;1;0;0;;;;1
1518522;VILA IPIRANGA;2021;1;2021-01-03;2021-01-09;-30.018;-51.155;0;0;0;;;;1
1518523;VILA IPIRANGA;2021;1;2021-01-03;2021-01-09;-30.017;-51.153;1;0;0;;;;1
1518524;VILA IPIRANGA;2021;1;2021-01-03;2021-01-09;-30.021;-51.153;0;0;2;;;;1
1518525;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.009;-51.166;0;0;3;;;;1
1518526;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.015;-51.169;0;0;5;;;;1
1518527;PASSO DA AREIA;2021;1;2021-01-03;2021-01-09;-30.009;-51.174;2;0;0;;;;1
1518528;SANTA TEREZA;2021;1;2021-01-03;2021-01-09;-30.073;-51.214;0;0;0;;;;1
1518529;MEDIANEIRA;2021;1;2021-01-03;2021-01-09;-30.065;-51.213;0;0;0;;;;1
1518530;MEDIANEIRA;2021;1;2021-01-03;2021-01-09;-30.062;-51.213;1;0;0;;;;1
1518531;MEDIANEIRA;2021;1;2021-01-03;2021-01-09;-30.061;-51.208;0;0;0;;;;1
1518532;MEDIANEIRA;2021;1;2021-01-03;2021-01-09;-30.064;-51.206;0;0;0;;;;1
