h,mae_ref,mae_f20_M1,mae_f20_M0,ganho_vetor_pct,f20M1_vs_ref_pct,semanas_vetor_ganha,n
1,97.98708193004315,133.6259070330219,115.4968518703452,-15.696579490346682,-36.370942374243484,0.5098039215686274,102
2,161.9592828472556,191.6345749786114,153.75706210425426,-24.634649203087964,-18.32268679489195,0.5,102
3,185.21415968018596,203.29313945151677,199.68074571667788,-1.8090846575485182,-9.761121829210166,0.5686274509803921,102
4,219.6692347506603,199.63518360553894,208.2730364329545,4.147369710143058,9.120098755686653,0.5294117647058824,102
5,217.67416392029247,225.41995796438434,220.94759079544792,-2.024175576133305,-3.5584351879850136,0.5196078431372549,102
6,262.69308401923695,221.52719642188765,225.4770932968217,1.7517951900037723,15.670716170942184,0.5686274509803921,102
7,249.7368031945706,232.37280312096723,249.94976108977258,7.032196347046061,6.952919974744382,0.6274509803921569,102
8,272.6266744147025,223.18272015579177,242.77440540995377,8.069913803755007,18.136139600081727,0.6764705882352942,102
9,284.1746747041617,234.7832492622613,250.2138418501064,6.166962016869147,17.380656982653022,0.6568627450980392,102
10,280.56058027664096,236.7644819485484,263.88605512067295,10.277759148630297,15.610210915912823,0.5588235294117647,102
11,292.10881518624666,241.60254989844415,261.1771933907957,7.494775190061215,17.29022291080125,0.5686274509803921,102
12,278.8175469066808,243.76452770203178,278.0145472505682,12.319506258666268,12.572027691062466,0.6372549019607843,102
