configuracao,folha_minima,queda_aval_h1,queda_aval_h4,queda_aval_h8,queda_aval_h12,mae_calibracao
lr0.03_it400_folhas15_min5,5,-7.519782219442557,3.3051352223651533,0.133836936682366,0.1488827422576328,41.66234279498096
lr0.03_it400_folhas31_min5,5,-6.410729160255989,2.811632193668507,0.7759879432222954,0.5988707259559919,41.71705807239515
lr0.05_it250_folhas31_min5,5,2.012667107176772,-0.7477497989151028,0.8731669270962852,-0.6892829953293087,41.89971507318751
lr0.05_it250_folhas15_min5,5,0.0,0.0,0.0,0.0,42.022260264866006
lr0.03_it400_folhas7_min5,5,-0.7953907320222784,2.234340546613834,1.8122133140907202,4.167515557421099,42.62777834716583
lr0.05_it250_folhas7_min5,5,-6.574175362789297,5.723283613312378,2.0506110467663445,0.5967188097983911,42.772447144617395
lr0.1_it150_folhas31_min5,5,-3.518365279739349,5.160901572629481,4.477660074869232,-0.27022294009089776,42.8997849063165
lr0.1_it150_folhas15_min5,5,-2.7744849404052316,5.708101543698454,4.289919112858762,-0.1780799156523352,43.0002079750676
lr0.1_it150_folhas7_min5,5,-1.8112172582088106,1.2012772246113064,3.334174523122233,5.5484878328747325,44.031300196440256
lr0.1_it150_folhas15_min20,20,-43.2156279939433,11.187840717020848,16.947455244598316,10.2523692338209,54.68074011989953
lr0.1_it150_folhas31_min20,20,-43.16732279781891,11.093133281662686,16.953545082262114,10.239865536124668,54.68074011989953
lr0.1_it150_folhas7_min20,20,-42.522371382213414,10.919585865498261,17.471877150586803,10.30342057472863,54.99705548501486
lr0.05_it250_folhas31_min20,20,-36.272341059509976,9.223733326372034,18.12432066257968,12.57265217320012,55.45463806717553
lr0.05_it250_folhas15_min20,20,-36.370942374243484,9.120098755686653,18.136139600081727,12.572027691062466,55.45463806717553
lr0.03_it400_folhas7_min20,20,-40.40276583374229,10.574217995121469,14.079034503892919,11.687097319351704,55.48784699635549
lr0.03_it400_folhas15_min20,20,-37.279288852623715,11.159161082825635,14.837614692561745,10.98205090299218,55.49033567356831
lr0.03_it400_folhas31_min20,20,-37.4139870063411,11.181087287465038,14.935527826404403,10.985920854911457,55.49033567356831
lr0.05_it250_folhas7_min20,20,-39.244287514569024,9.60728888258873,17.491090806231952,12.716082103228977,55.688854513272425
