controle,variante,h,mae_controle,mae_variante,reducao_percentual,r2_controle,r2_variante,p_bruto,p_holm,semanas_pareadas
HistGB_M1,HistGB_M0,1,97.98708193004315,91.98275281555958,6.1276741752247466,0.8979137481774447,0.9205199085145154,0.3490878602251952,1.0,102
HistGB_M1,HistGB_M0,4,219.6692347506603,219.38952739354295,0.1273311474111734,0.6284596054568903,0.6210572404379844,0.5602213669852035,1.0,102
HistGB_M1,HistGB_M0,8,272.6266744147025,253.0510882953122,7.180363462752418,0.4502736906157241,0.5221293679190098,0.9986682587369177,1.0,102
HistGB_M1,HistGB_M0,12,278.8175469066808,285.01658652401886,-2.2233319552922124,0.436638906080309,0.39768076785258777,0.631917929641669,1.0,102
GradBoost_M1,GradBoost_M0,1,108.11407606779373,91.9305254670557,14.968957964909228,0.8931596961544922,0.9164227263391901,0.10798099625896102,0.9718289663306492,102
GradBoost_M1,GradBoost_M0,4,205.8934478886066,229.11023326341865,-11.276116657861254,0.6669367864750635,0.6152759419010585,0.051836278091058965,0.5701990590016486,102
GradBoost_M1,GradBoost_M0,8,262.66642269137355,247.006688788105,5.961833165736733,0.46614210481018914,0.547440258006171,0.4719079314531607,1.0,102
GradBoost_M1,GradBoost_M0,12,271.2548714366823,271.8742988948593,-0.228356252146263,0.4558135940802147,0.41710786819659673,0.3577457043467196,1.0,102
LightGBM_M1,LightGBM_M0,1,132.8716535081894,125.1804150321081,5.7884720126609,0.8281540453814074,0.8513186958139369,0.6703860860951305,1.0,102
LightGBM_M1,LightGBM_M0,4,203.06884837851945,214.4972658328937,-5.627853580511638,0.7055782724792728,0.6585274786976913,0.4719079314531607,1.0,102
LightGBM_M1,LightGBM_M0,8,231.9184468364128,237.85335877838253,-2.5590512626000796,0.5571887502188351,0.5833540456590552,0.059963012755150216,0.5996301275515021,102
LightGBM_M1,LightGBM_M0,12,247.2255280005137,292.4206712504838,-18.28093709233627,0.5479281234202393,0.40074151461609075,4.839216907772568e-06,5.807060289327082e-05,102
