data,h,real,pred
2012-09-23,1,1.0,0.0
2012-09-30,1,2.0,1.0
2012-10-07,1,1.0,2.0
2012-10-14,1,1.0,1.0
2012-10-21,1,0.0,1.0
2012-10-28,1,1.0,0.0
2012-11-04,1,3.0,1.0
2012-11-11,1,3.0,3.0
2012-11-18,1,1.0,3.0
2012-11-25,1,3.0,1.0
2012-12-02,1,4.0,3.0
2012-12-09,1,2.0,4.0
2012-12-16,1,0.0,2.0
2012-12-23,1,10.0,0.0
2012-12-30,1,6.0,10.0
2013-01-06,1,5.0,6.0
2013-01-13,1,13.0,5.0
2013-01-20,1,11.0,13.0
2013-01-27,1,23.0,11.0
2013-02-03,1,41.0,23.0
2013-02-10,1,48.0,41.0
2013-02-17,1,105.0,48.0
2013-02-24,1,114.0,105.0
2013-03-03,1,99.0,114.0
2013-03-10,1,114.0,99.0
2013-03-17,1,118.0,114.0
2013-03-24,1,136.0,118.0
2013-03-31,1,84.0,136.0
2013-04-07,1,63.0,84.0
2013-04-14,1,49.0,63.0
2013-04-21,1,65.0,49.0
2013-04-28,1,34.0,65.0
2013-05-05,1,20.0,34.0
2013-05-12,1,20.0,20.0
2013-05-19,1,15.0,20.0
2013-05-26,1,13.0,15.0
2013-06-02,1,11.0,13.0
2013-06-09,1,5.0,11.0
2013-06-16,1,7.0,5.0
2013-06-23,1,6.0,7.0
2013-06-30,1,0.0,6.0
2013-07-07,1,0.0,0.0
2013-07-14,1,0.0,0.0
2013-07-21,1,5.0,0.0
2013-07-28,1,5.0,5.0
2013-08-04,1,1.0,5.0
2013-08-11,1,5.0,1.0
2013-08-18,1,1.0,5.0
2013-08-25,1,4.0,1.0
2013-09-01,1,7.0,4.0
2013-09-08,1,4.0,7.0
2013-09-15,1,3.0,4.0
2013-09-22,1,4.0,3.0
2013-09-29,1,3.0,4.0
2013-10-06,1,3.0,3.0
2013-10-13,1,2.0,3.0
2013-10-20,1,1.0,2.0
2013-10-27,1,3.0,1.0
2013-11-03,1,3.0,3.0
2013-11-10,1,2.0,3.0
2013-11-17,1,11.0,2.0
2013-11-24,1,13.0,11.0
2013-12-01,1,11.0,13.0
2013-12-08,1,11.0,11.0
2013-12-15,1,7.0,11.0
2013-12-22,1,4.0,7.0
2013-12-29,1,19.0,4.0
2014-01-05,1,12.0,19.0
2014-01-12,1,8.0,12.0
2014-01-19,1,18.0,8.0
2014-01-26,1,14.0,18.0
2014-02-02,1,6.0,14.0
2014-02-09,1,12.0,6.0
2014-02-16,1,5.0,12.0
2014-02-23,1,7.0,5.0
2014-03-02,1,9.0,7.0
2014-03-09,1,8.0,9.0
2014-03-16,1,10.0,8.0
2014-03-23,1,8.0,10.0
2014-03-30,1,6.0,8.0
2014-04-06,1,5.0,6.0
2014-04-13,1,12.0,5.0
2014-04-20,1,11.0,12.0
2014-04-27,1,4.0,11.0
2014-05-04,1,9.0,4.0
2014-05-11,1,4.0,9.0
2014-05-18,1,5.0,4.0
2014-05-25,1,2.0,5.0
2014-06-01,1,4.0,2.0
2014-06-08,1,4.0,4.0
2014-06-15,1,2.0,4.0
2014-06-22,1,0.0,2.0
2014-06-29,1,2.0,0.0
2014-07-06,1,5.0,2.0
2014-07-13,1,5.0,5.0
2014-07-20,1,3.0,5.0
2014-07-27,1,6.0,3.0
2014-08-03,1,3.0,6.0
2014-08-10,1,3.0,3.0
2014-08-17,1,3.0,3.0
2014-08-24,1,1.0,3.0
2014-08-31,1,2.0,1.0
2014-09-07,1,3.0,2.0
2014-09-14,1,2.0,3.0
2014-09-21,1,2.0,2.0
2014-09-28,1,4.0,2.0
2014-10-05,1,3.0,4.0
