algoritmo,perda,conjunto,h,periodo,n,MAE_org,R2_org,vies_org,cap_org,n_n,MAE_novo,R2_novo,vies_novo,cap_novo,MAE_var_%,R2_var,cap_var_pp
gradient_boosting,quantil_0.70,M1_com_vetor,1,avaliacao,102.0,114.7887040177677,0.869552748616789,-240.346784534745,0.8007591030228527,102.0,114.7887040177677,0.869552748616789,-240.346784534745,0.8007591030228527,0.0,0.0,0.0
gradient_boosting,quantil_0.70,M1_com_vetor,1,calibracao,193.0,24.481328708188304,0.808690133743359,-43.056600595640056,0.9029644807634541,193.0,24.481328708188304,0.808690133743359,-43.056600595640056,0.9029644807634541,0.0,0.0,0.0
gradient_boosting,quantil_0.70,M1_com_vetor,4,avaliacao,102.0,189.69256880426306,0.7047021221017863,-308.59959633570753,0.747019016867654,102.0,229.18060750921805,0.6002797755474252,-428.9112507738295,0.6483910180515925,20.816861173777077,-0.10442234655436111,-9.862799881606154
gradient_boosting,quantil_0.70,M1_com_vetor,4,calibracao,190.0,33.531122146620504,0.7069313609039822,-130.12044435410834,0.7067510043403309,190.0,44.86508689368671,0.4853930524425413,-184.8881350078442,0.5833225119267911,33.80132850164252,-0.22153830846144096,-12.342849241353981
gradient_boosting,quantil_0.70,M1_com_vetor,8,avaliacao,102.0,193.21919715781877,0.7167492375445514,-443.0027737490825,0.6060723217469667,102.0,279.8495226528666,0.3985420226378028,-702.4667776218961,0.37535129991032773,44.835257970919606,-0.31820721490674864,-23.072102183663894
gradient_boosting,quantil_0.70,M1_com_vetor,8,calibracao,186.0,38.21077220784113,0.5713930289421272,-189.83991178670124,0.5721628238828512,186.0,48.471838317847265,0.33560975495777756,-301.3283186050092,0.32090435724103217,26.853856954768606,-0.23578327398434962,-25.125846664181907
gradient_boosting,quantil_0.70,M1_com_vetor,12,avaliacao,102.0,188.0121827299524,0.741295106787697,-442.2926885995886,0.5981779990825578,102.0,262.30110643337156,0.4883233452713851,-640.7555679955548,0.41787487998912975,39.512824448255344,-0.25297176151631184,-18.0303119093428
gradient_boosting,quantil_0.70,M1_com_vetor,12,calibracao,182.0,41.881008713667335,0.5487367399430083,-198.55549338910896,0.5525207486948774,182.0,53.48387412856667,0.2547211554741876,-341.2053587353878,0.23103452912785605,27.704359974292792,-0.2940155844688207,-32.14862195670214
hist_gradient_boosting,padrao,M1_com_vetor,1,avaliacao,102.0,113.01363260483768,0.8496621237799402,-222.25620532622037,0.8157556973618192,102.0,113.01363260483768,0.8496621237799402,-222.25620532622037,0.8157556973618192,0.0,0.0,0.0
hist_gradient_boosting,padrao,M1_com_vetor,1,calibracao,193.0,25.408223696868934,0.8280021490610707,-24.995569852818495,0.9436681469106228,193.0,25.408223696868934,0.8280021490610707,-24.995569852818495,0.9436681469106228,0.0,0.0,0.0
hist_gradient_boosting,padrao,M1_com_vetor,4,avaliacao,102.0,170.49489957515573,0.7288784361042051,-367.54153834948255,0.6987001252831246,102.0,241.25633843967051,0.526036330093252,-606.6001175060787,0.5027268476140645,41.50355174309628,-0.2028421060109531,-19.597327766906012
hist_gradient_boosting,padrao,M1_com_vetor,4,calibracao,190.0,38.18136942410795,0.6429362645379242,-124.40261401692402,0.7196371269788966,190.0,52.450442278865886,0.36443453830710515,-164.81602209987068,0.62855850063132,37.37182052393426,-0.27850172623081904,-9.107862634757657
hist_gradient_boosting,padrao,M1_com_vetor,8,avaliacao,102.0,183.13486013687196,0.7386988216724679,-397.4550795558709,0.6465743196723196,102.0,293.8682256621296,0.3265461324418464,-745.0543974858438,0.3374814643033165,60.4654763394022,-0.41215268923062154,-30.90928553690031
