variante,h,periodo,n,MAE,R2,captura_pico,pico_real_medio
A1_confirmados,1,avaliacao,102,101.2661968809794,0.8830479899684321,0.8001672338821497,1882.375
A1_confirmados,1,calibracao,193,23.59858191510937,0.8101474709993597,0.9889506413553691,394.0689655172414
A1_confirmados,4,avaliacao,102,168.39821130849361,0.7789908860892397,0.664312609331653,1900.0625
A1_confirmados,4,calibracao,190,35.34784197630038,0.6915750074726632,0.8950771813097621,394.0689655172414
A1_confirmados,8,avaliacao,102,184.03992502019227,0.7235965873168796,0.5703012813273055,1900.0625
A1_confirmados,8,calibracao,186,36.57385322237899,0.628942097772444,0.6566569574807805,405.5
A1_confirmados,12,avaliacao,102,179.64827228184186,0.7579247350404885,0.5981731185435243,1900.0625
A1_confirmados,12,calibracao,182,37.218305248591335,0.6667726958371215,0.5807561635496739,405.5
A2_notificados,1,avaliacao,107,267.84245382567104,0.8589979313300061,0.8592344679033519,4106.6875
A2_notificados,1,calibracao,468,17.975446670576417,0.8079941690197502,0.9900165118826473,263.98591549295776
A2_notificados,4,avaliacao,107,560.6228635366925,0.525297503841885,0.684305757271652,4106.6875
A2_notificados,4,calibracao,465,30.08848124511349,0.5484142358309523,0.7988685275421942,267.04285714285714
A2_notificados,8,avaliacao,107,604.7273336977946,0.4961474760129967,0.4633560449691013,4106.6875
A2_notificados,8,calibracao,461,34.25012882843246,0.4765578091837024,0.4950177521582523,267.04285714285714
A2_notificados,12,avaliacao,107,694.8648237782073,0.4179016298144771,0.4799793078997309,4106.6875
A2_notificados,12,calibracao,457,38.088673127262446,0.3340497946581086,0.3660865176121086,270.17391304347825
A3_nowcast,1,avaliacao,107,267.84245382567104,0.8589979313300061,0.8592344679033519,4106.6875
A3_nowcast,1,calibracao,468,17.975446670576417,0.8079941690197502,0.9900165118826473,263.98591549295776
A3_nowcast,4,avaliacao,107,560.6228635366925,0.525297503841885,0.684305757271652,4106.6875
A3_nowcast,4,calibracao,465,30.08848124511349,0.5484142358309523,0.7988685275421942,267.04285714285714
A3_nowcast,8,avaliacao,107,604.7273336977946,0.4961474760129967,0.4633560449691013,4106.6875
A3_nowcast,8,calibracao,461,34.25012882843246,0.4765578091837024,0.4950177521582523,267.04285714285714
A3_nowcast,12,avaliacao,107,694.8648237782073,0.4179016298144771,0.4799793078997309,4106.6875
A3_nowcast,12,calibracao,457,38.088673127262446,0.3340497946581086,0.3660865176121086,270.17391304347825
B_confirmados_+_transmissao,1,avaliacao,102,103.38151182880938,0.8730621308529223,0.7858116893032661,1882.375
B_confirmados_+_transmissao,1,calibracao,193,24.903075942026362,0.8312160898123553,0.9664630731544199,394.0689655172414
B_confirmados_+_transmissao,4,avaliacao,102,187.4861527096375,0.7345775104421659,0.6445362011903348,1900.0625
B_confirmados_+_transmissao,4,calibracao,190,35.122667978457635,0.6881470100101494,0.9188416088091202,394.0689655172414
B_confirmados_+_transmissao,8,avaliacao,102,181.70898244273985,0.7222820486915609,0.5663987737370297,1900.0625
B_confirmados_+_transmissao,8,calibracao,186,38.94993437032826,0.5688773260828431,0.6520159075284745,405.5
B_confirmados_+_transmissao,12,avaliacao,102,173.9986026675041,0.7621396861151835,0.6041841701490114,1900.0625
B_confirmados_+_transmissao,12,calibracao,182,39.54701053391927,0.617520223625191,0.5545062015352007,405.5
