variante,h,periodo,n,MAE,R2,vies_pico,captura_pico
A+B_lags_anuais,1,avaliacao,99,95.57933199660656,0.8860097070450719,-158.09137752244956,0.858981577061578
A+B_lags_anuais,1,calibracao,92,54.24274512499554,0.7826827967270978,-7.072327128437073,0.9840612838536981
A+B_lags_anuais,4,avaliacao,99,143.17881432260768,0.8347402380790877,-227.0451593806489,0.8229600578327769
A+B_lags_anuais,4,calibracao,89,82.20362343849096,0.554910339276837,9.582028223377364,1.0211174175721816
A+B_lags_anuais,8,avaliacao,99,189.67648926804185,0.7416618584653469,-334.28943534589683,0.7027425810094051
A+B_lags_anuais,8,calibracao,85,75.7502762305706,0.46825372936458576,-73.66128673332312,0.8390269083624933
A+B_lags_anuais,12,avaliacao,99,190.10588012898984,0.7213259194877013,-433.78181639313163,0.6059101090353118
A+B_lags_anuais,12,calibracao,81,52.50026176481077,0.5752190886177833,-116.37498457266867,0.7181777276884066
A+C+D_clima_longo,1,avaliacao,102,97.34380836755201,0.887561192952901,-169.31991428923865,0.8596384317585712
A+C+D_clima_longo,1,calibracao,193,26.694901727230555,0.7804910079686525,-2.660463321742302,0.9940041843465647
A+C+D_clima_longo,4,avaliacao,102,165.002521399975,0.7854724582078266,-261.52989969114236,0.7856053866305284
A+C+D_clima_longo,4,calibracao,190,34.49834957047626,0.6792997410622494,-81.52184769129298,0.8162763731828788
A+C+D_clima_longo,8,avaliacao,102,184.23159855170343,0.7359252833977672,-411.4575596809672,0.634123010533141
A+C+D_clima_longo,8,calibracao,186,28.887930276863557,0.7791313293841859,-115.72100418777923,0.7392026408821345
A+C+D_clima_longo,12,avaliacao,102,189.9756498536761,0.7537611818824334,-418.7058473815092,0.6196065959774772
A+C+D_clima_longo,12,calibracao,182,38.75235333765567,0.6059105174371275,-158.06790975558602,0.6437665425142297
A+E_enso,1,avaliacao,102,98.0016677034751,0.8862735924615808,-180.7053725924202,0.8502001988768083
A+E_enso,1,calibracao,193,24.5926443270545,0.7880607455066699,3.4871685070913143,1.0078589392118706
A+E_enso,4,avaliacao,102,167.01559869374904,0.7719226540563168,-215.44812814998653,0.8233818840964545
A+E_enso,4,calibracao,190,37.03863809141477,0.6535123270890664,-73.23343311725189,0.8349557533641667
A+E_enso,8,avaliacao,102,171.05220024274146,0.7852238432134044,-360.72015758852996,0.6792398093236265
A+E_enso,8,calibracao,186,35.311977353064066,0.6378146978466376,-150.7453839359791,0.6602691248174994
A+E_enso,12,avaliacao,102,179.3419373721015,0.7163760491117563,-396.420914212295,0.6398524120788412
A+E_enso,12,calibracao,182,36.70799583999571,0.6437036166596817,-183.48737033100923,0.5864793781416001
A+TUDO,1,avaliacao,99,95.23069328686827,0.8851683705461562,-131.64248534830367,0.8825741418258186
A+TUDO,1,calibracao,92,54.42747352587746,0.7829638720702184,-8.358891483111277,0.9811617878772394
A+TUDO,4,avaliacao,99,152.07150719087525,0.81780504887358,-294.66665801405674,0.7702317537369012
A+TUDO,4,calibracao,89,75.72924955555213,0.6296684155389304,-20.6906047962089,0.9544008709725423
A+TUDO,8,avaliacao,99,208.40484283857364,0.7017299916768697,-376.20950419028935,0.6654663462528433
A+TUDO,8,calibracao,85,48.568904573413185,0.7791257234642619,-41.277262948787964,0.9097961911084179
A+TUDO,12,avaliacao,99,190.76936059481932,0.7174907517992801,-432.79691933641544,0.6068048859923545
A+TUDO,12,calibracao,81,53.257129867894506,0.5772971622511764,-101.25867376230421,0.7547845042838099
A_referencia,1,avaliacao,102,101.2661968809794,0.8830479899684321,-181.05771475614085,0.849908116880045
A_referencia,1,calibracao,193,23.59858191510937,0.8101474709993597,-3.7004598999733207,0.9916603716308181
A_referencia,4,avaliacao,102,168.39821130849361,0.7789908860892397,-204.95738992151655,0.8319818865019513
A_referencia,4,calibracao,190,35.34784197630038,0.6915750074726632,-70.86351909575535,0.8402967657627437
A_referencia,8,avaliacao,102,184.03992502019227,0.7235965873168796,-413.7541540177742,0.6320808290196233
A_referencia,8,calibracao,186,36.57385322237899,0.628942097772444,-153.4047934853449,0.6542756840229312
A_referencia,12,avaliacao,102,179.64827228184186,0.7579247350404885,-418.86364071590674,0.6194632410566445
A_referencia,12,calibracao,182,37.218305248591335,0.6667726958371215,-185.39471073931475,0.5821808556312206
