h,data,real,pred,variante
1,2024-10-20,3.0,0.0,atual
1,2024-11-03,2.0,8.051418576673008,atual
1,2024-11-17,7.0,21.261663357700588,atual
1,2024-12-01,5.0,15.621678075930568,atual
1,2024-12-15,1.0,0.3586470596033514,atual
1,2024-12-29,26.0,8.351692363199408,atual
1,2025-01-12,37.0,25.846140223360678,atual
1,2025-01-26,75.0,86.00796322562006,atual
1,2025-02-09,245.0,282.95797819819416,atual
1,2025-02-23,494.0,609.7384423385079,atual
1,2025-03-09,1199.0,920.4491351125665,atual
1,2025-03-23,2381.0,1408.3527070365435,atual
1,2025-04-06,2247.0,1514.2766718633125,atual
1,2025-04-20,2212.0,1428.023115147065,atual
1,2025-05-04,1944.0,1624.8204117873645,atual
1,2025-05-18,883.0,1759.0837638986786,atual
1,2025-06-01,257.0,191.58524107697482,atual
1,2025-06-15,50.0,99.75676697992861,atual
1,2025-06-29,13.0,0.0,atual
1,2025-07-13,9.0,10.13210389856021,atual
1,2025-07-27,4.0,1.719833286568893,atual
1,2025-08-10,9.0,0.0,atual
1,2025-08-24,8.0,3.1570194003700975,atual
1,2025-09-07,3.0,8.532699720886606,atual
1,2025-09-21,6.0,9.900498960209084,atual
1,2025-10-05,5.0,12.859441104006715,atual
1,2025-10-19,8.0,27.451015354969194,atual
1,2025-11-02,0.0,1.980500634277516,atual
1,2025-11-16,2.0,18.759267827502516,atual
1,2025-11-30,2.0,9.242489593279858,atual
1,2025-12-14,1.0,8.414474700570333,atual
1,2025-12-28,2.0,5.7873603829855,atual
1,2026-01-11,1.0,39.781115791307876,atual
1,2026-01-25,1.0,17.4651490783395,atual
4,2020-03-15,3.0,16.58336996798109,atual
4,2020-03-29,0.0,7.123518500899136,atual
4,2020-04-12,0.0,5.286767112120413,atual
4,2020-04-26,0.0,0.0,atual
4,2020-05-10,0.0,1.2121346860024,atual
4,2020-05-24,0.0,0.0,atual
4,2020-06-07,0.0,0.0,atual
4,2020-06-21,0.0,0.0,atual
4,2020-07-05,0.0,0.0,atual
4,2020-07-19,0.0,0.43996063705867827,atual
4,2020-08-02,0.0,0.37545919126515137,atual
4,2020-08-16,0.0,0.48564603580425636,atual
4,2020-08-30,0.0,0.8168843805928724,atual
4,2020-09-13,0.0,0.29524249083990056,atual
4,2020-09-27,0.0,0.0,atual
4,2020-10-11,0.0,0.5254541874416968,atual
4,2020-10-25,0.0,0.0,atual
4,2020-11-08,0.0,0.8822442163624452,atual
4,2020-11-22,0.0,1.3763096060768778,atual
4,2020-12-06,0.0,1.3682488332726812,atual
4,2020-12-20,0.0,2.4467413847119177,atual
4,2021-01-03,0.0,0.05977967901005609,atual
4,2021-01-17,0.0,0.3777228055861367,atual
4,2021-01-31,0.0,0.6960929016291969,atual
4,2021-02-14,0.0,1.2114831071716106,atual
4,2021-02-28,1.0,5.830009002431973,atual
4,2021-03-14,12.0,3.1284622533511,atual
4,2021-03-28,8.0,1.9783498574721157,atual
4,2021-04-11,9.0,33.66410026024368,atual
4,2021-04-25,0.0,33.528470006730814,atual
4,2021-05-09,1.0,14.522305059580813,atual
4,2021-05-23,0.0,0.0,atual
4,2021-06-06,1.0,0.0,atual
4,2021-06-20,1.0,0.16083187856098974,atual
4,2021-07-04,0.0,0.0,atual
4,2021-07-18,0.0,0.0,atual
4,2021-08-01,0.0,0.2672011589181759,atual
4,2021-08-15,0.0,0.24500575238042221,atual
4,2021-08-29,0.0,0.0,atual
4,2021-09-12,0.0,0.0,atual
4,2021-09-26,0.0,0.0,atual
4,2021-10-10,0.0,0.2997591568463035,atual
4,2021-10-24,0.0,1.4033312431366327,atual
4,2021-11-07,1.0,1.7569168881637252,atual
4,2021-11-21,0.0,1.9307525777115075,atual
4,2021-12-05,1.0,2.7435826973723776,atual
4,2021-12-19,2.0,1.4315198705120398,atual
4,2022-01-02,1.0,2.9204310301363967,atual
4,2022-01-16,9.0,0.729862523124945,atual
4,2022-01-30,51.0,4.810524897501788,atual
4,2022-02-13,269.0,25.26706095659916,atual
4,2022-02-27,482.0,125.56243226294431,atual
4,2022-03-13,753.0,205.9784977621078,atual
4,2022-03-27,569.0,133.98879565465148,atual
4,2022-04-10,223.0,103.64727692327703,atual
4,2022-04-24,122.0,71.99308771601805,atual
4,2022-05-08,61.0,104.44118291454294,atual
4,2022-05-22,26.0,83.05352652806462,atual
4,2022-06-05,14.0,89.81131988615928,atual
4,2022-06-19,13.0,1.8213082393443734,atual
4,2022-07-03,11.0,0.0,atual
4,2022-07-17,3.0,67.2230034335617,atual
4,2022-07-31,1.0,40.31344253712512,atual
4,2022-08-14,0.0,6.774454407807856,atual
4,2022-08-28,0.0,0.0,atual
4,2022-09-11,0.0,0.0,atual
4,2022-09-25,0.0,6.726300763051197,atual
4,2022-10-09,6.0,0.0,atual
4,2022-10-23,7.0,2.438408482411061,atual
4,2022-11-06,10.0,5.518635223306915,atual
4,2022-11-20,0.0,31.89090636169522,atual
4,2022-12-04,0.0,20.114342724198803,atual
4,2022-12-18,2.0,14.312358687557811,atual
4,2023-01-01,2.0,43.63498392718403,atual
4,2023-01-15,10.0,0.0,atual
4,2023-01-29,27.0,54.53221341779377,atual
4,2023-02-12,93.0,230.74281112319002,atual
4,2023-02-26,250.0,436.59629511784146,atual
4,2023-03-12,541.0,398.9295937753355,atual
4,2023-03-26,581.0,540.4230492810483,atual
4,2023-04-09,762.0,627.0778239637788,atual
4,2023-04-23,473.0,184.4169432074909,atual
4,2023-05-07,225.0,176.5890498383083,atual
4,2023-05-21,66.0,278.66618790501536,atual
4,2023-06-04,74.0,201.74471751564982,atual
4,2023-06-18,32.0,16.32048273409023,atual
4,2023-07-02,15.0,24.949735841383994,atual
4,2023-07-16,13.0,26.110387251787486,atual
4,2023-07-30,9.0,25.125640027592464,atual
4,2023-08-13,9.0,0.0,atual
