conjunto,h,faixa,n_semanas,casos_reais_medio,casos_previstos_medio,MAE,vies_medio,MAE_relativo
M0_clima6,1,1_entressafra (<=5),82,1.1341463414634145,1.844229638833247,1.5489904343821312,0.710083297369832,1.3657765120358578
M0_clima6,1,2_intermediaria (5-100),40,23.025,28.34968234336855,13.75692536164955,5.324682343368549,0.5974777572920543
M0_clima6,1,3_pico (>100),32,858.6875,769.4402119003034,271.5228538135023,-89.24728809969649,0.31620683172108865
M0_clima6,4,1_entressafra (<=5),75,0.9466666666666667,2.7537927910203126,2.347335082955622,1.807126124353646,2.479579312981291
M0_clima6,4,2_intermediaria (5-100),45,21.977777777777778,30.434846905720143,21.650549135206166,8.457069127942365,0.9851109313288953
M0_clima6,4,3_pico (>100),32,829.46875,623.610589570508,399.7484034550512,-205.8581604294921,0.48193304865921854
M0_clima6,8,1_entressafra (<=5),73,0.9315068493150684,3.586792435209057,3.286953019409994,2.655285585893989,3.528640741425435
M0_clima6,8,2_intermediaria (5-100),45,21.977777777777778,23.23209402356546,25.01493302520425,1.2543162457876893,1.1381920992256738
M0_clima6,8,3_pico (>100),32,829.46875,506.3238752302186,420.4001403374259,-323.1448747697814,0.5068305952905711
M0_clima6,12,1_entressafra (<=5),71,0.9577464788732394,3.512891384064844,3.681288676294517,2.5551449051916046,3.8436984708369226
M0_clima6,12,2_intermediaria (5-100),45,21.977777777777778,19.255251962177685,19.00350006720453,-2.722525815600094,0.8646688604895894
M0_clima6,12,3_pico (>100),32,829.46875,400.13684306945373,471.62640391428226,-429.33190693054627,0.5685885139304914
M1_clima6_vetor,1,1_entressafra (<=5),76,1.013157894736842,1.5153080082447123,1.2826109419978962,0.5021501135078703,1.2659536570368846
M1_clima6_vetor,1,2_intermediaria (5-100),44,22.34090909090909,27.360991688148484,13.147811373076964,5.020082597239393,0.5885083422333535
M1_clima6_vetor,1,3_pico (>100),28,870.2857142857143,735.3320623018499,294.11804337463644,-134.95365198386452,0.337955729419313
M1_clima6_vetor,4,1_entressafra (<=5),76,1.0526315789473684,2.236716191528913,2.152638301178752,1.1840846125815443,2.0450063861198147
M1_clima6_vetor,4,2_intermediaria (5-100),40,20.95,28.079266115213397,20.53172807343784,7.129266115213395,0.9800347529087274
M1_clima6_vetor,4,3_pico (>100),30,894.5666666666667,607.5580051866165,388.4921100022227,-287.0086614800501,0.4342796624088639
M1_clima6_vetor,8,1_entressafra (<=5),75,1.0266666666666666,3.2986006331980158,3.0433127606034716,2.271933966531349,2.9642656759124724
M1_clima6_vetor,8,2_intermediaria (5-100),37,21.486486486486488,18.090500724105315,20.087136684087557,-3.3959857623811716,0.9348730280644523
M1_clima6_vetor,8,3_pico (>100),32,863.125,530.6078139576691,388.9757586802199,-332.5171860423309,0.4506598217873655
M1_clima6_vetor,12,1_entressafra (<=5),73,1.0,3.180448806872855,3.3821876303424796,2.180448806872855,3.3821876303424796
M1_clima6_vetor,12,2_intermediaria (5-100),36,21.77777777777778,22.013998984596306,21.104203880628322,0.2362212068185282,0.9690705863553821
M1_clima6_vetor,12,3_pico (>100),33,842.8484848484849,414.8528753476602,460.9437017196793,-427.9956095008247,0.5468879757226367
