variante,h,n_picos,real_medio,pred_medio,vies_medio,teto_treino_medio,picos_ACIMA_do_teto,pred_como_pct_do_teto
original,1,32,858.6875,769.4402119003034,-89.24728809969649,1384.625,7,0.5438721063627375
original,4,32,829.46875,623.610589570508,-205.8581604294921,1439.28125,5,0.42845699984666197
original,8,32,829.46875,506.3238752302186,-323.1448747697814,1439.28125,5,0.327068226510192
original,12,32,829.46875,400.13684306945373,-429.33190693054627,1439.28125,5,0.24056782398758805
log1p,1,32,858.6875,687.2901418331675,-171.39735816683248,1384.625,7,0.48423733125064217
log1p,4,32,829.46875,463.02974351831864,-366.43900648168136,1439.28125,5,0.300323501080601
log1p,8,32,829.46875,368.22074228906024,-461.24800771093976,1439.28125,5,0.23679223446928005
log1p,12,32,829.46875,246.54593381653896,-582.922816183461,1439.28125,5,0.14218923506490683
