h,real,pred,conjunto
1,0.0,6.470481478242428,M0_clima6
1,2.0,0.9339643685317248,M0_clima6
1,1.0,3.5613895992557807,M0_clima6
1,0.0,1.1794012124256343,M0_clima6
1,1.0,0.45492972842832524,M0_clima6
1,0.0,0.043841481296015894,M0_clima6
1,0.0,0.13707491696700622,M0_clima6
1,0.0,-0.16039358540919402,M0_clima6
1,0.0,-0.5481703190010956,M0_clima6
1,0.0,0.0798170330350266,M0_clima6
1,0.0,0.2649473474146038,M0_clima6
1,0.0,-0.17925092463327744,M0_clima6
1,0.0,-0.2277715771190521,M0_clima6
1,0.0,-0.020280720740499494,M0_clima6
1,0.0,-0.08417016320003107,M0_clima6
1,0.0,-0.08280255875432134,M0_clima6
1,0.0,-0.0897422058821263,M0_clima6
1,0.0,-0.10954919975159569,M0_clima6
1,0.0,0.35049220001254827,M0_clima6
1,0.0,0.4067607565645172,M0_clima6
1,0.0,0.2946358697964702,M0_clima6
1,0.0,1.5222800195551123,M0_clima6
1,0.0,0.3156515856095648,M0_clima6
1,0.0,1.214966048764761,M0_clima6
1,2.0,-0.26464818322563277,M0_clima6
1,1.0,-0.054430062855228625,M0_clima6
1,1.0,-0.09185622661161254,M0_clima6
1,9.0,1.8741969769141902,M0_clima6
1,12.0,8.61790490480815,M0_clima6
1,7.0,5.974187248415504,M0_clima6
1,5.0,6.804622049626645,M0_clima6
1,1.0,-1.1624453587373749,M0_clima6
1,0.0,0.08101409956884306,M0_clima6
1,0.0,-0.08384275744897121,M0_clima6
1,0.0,-0.2214830526203206,M0_clima6
1,0.0,-0.10363460717560563,M0_clima6
1,0.0,0.08508036213503194,M0_clima6
1,0.0,-0.05031223762416569,M0_clima6
1,0.0,-0.1308925592876309,M0_clima6
1,0.0,-0.003349665477737906,M0_clima6
1,0.0,0.03963555205285665,M0_clima6
1,0.0,0.02015800047275881,M0_clima6
1,0.0,0.3411819242268953,M0_clima6
1,0.0,0.5446426040309476,M0_clima6
1,0.0,0.16318680114325612,M0_clima6
1,0.0,0.24468558613243838,M0_clima6
1,0.0,0.501720276716504,M0_clima6
1,0.0,0.18821136423824483,M0_clima6
1,0.0,1.3718623414819329,M0_clima6
1,2.0,0.3578089027701352,M0_clima6
1,20.0,14.821251995418447,M0_clima6
1,203.0,46.90814717584029,M0_clima6
1,463.0,81.93431135565667,M0_clima6
1,524.0,285.972880679447,M0_clima6
1,879.0,565.0936393230152,M0_clima6
1,344.0,596.5419977710299,M0_clima6
1,313.0,201.53687076321108,M0_clima6
1,92.0,149.7116566919745,M0_clima6
1,17.0,16.37769722669193,M0_clima6
1,19.0,9.295818320392879,M0_clima6
1,24.0,11.124346743569625,M0_clima6
1,11.0,18.808069372088454,M0_clima6
1,3.0,11.2921171478954,M0_clima6
1,3.0,-0.3870740533454511,M0_clima6
1,2.0,0.18337362181374547,M0_clima6
1,3.0,0.48489285768430435,M0_clima6
1,1.0,1.1320973893641353,M0_clima6
