algoritmo,h,R2_so_clima,R2_clima_vetor,ganho
lightgbm,1,0.210993100167996,0.3045212690231218,0.09352816885512583
lightgbm,2,0.2869537599172075,0.3305404212784909,0.04358666136128342
lightgbm,3,0.3225049312307252,0.29843224586913886,-0.024072685361586355
lightgbm,4,0.46298249559210214,0.48774608568541256,0.024763590093310417
lightgbm,5,0.37253013051551387,0.5084539450803298,0.13592381456481595
lightgbm,6,0.44945551174216125,0.5152944280214766,0.06583891627931537
lightgbm,7,0.4803177486500858,0.5567063701734856,0.07638862152339976
lightgbm,8,0.4576606028675587,0.6034286771456605,0.1457680742781018
lightgbm,9,0.29791872454173607,0.43548084493434147,0.1375621203926054
lightgbm,10,0.2938755368736742,0.5419524919268288,0.24807695505315464
lightgbm,11,0.3163512966819054,0.5575473050926334,0.24119600841072797
lightgbm,12,0.3895498088548056,0.5074227039629291,0.11787289510812349
