algoritmo,n,n_pos,tp,fp,fn,tn,sensib,espec,precisao,f1,bal_acc,auc,ap,exp,pctl,h,modelo
lightgbm,237,58,41,6,17,173,0.7068965517241379,0.9664804469273743,0.8723404255319149,0.780952380952381,0.8366884993257562,0.9569447120015411,0.8854571985900075,B_tabela_final,90,8,clima+vetor
lightgbm,234,61,7,1,54,172,0.11475409836065574,0.9942196531791907,0.875,0.2028985507246377,0.5544868757699232,0.935231687671752,0.7851108856531219,B_tabela_final,90,12,sazonal
lightgbm,234,61,23,7,38,166,0.3770491803278688,0.9595375722543352,0.7666666666666667,0.5054945054945055,0.6682933762911021,0.9237183739221074,0.7891574349995853,B_tabela_final,90,12,so-clima
lightgbm,234,61,34,7,27,166,0.5573770491803278,0.9595375722543352,0.8292682926829268,0.6666666666666666,0.7584573107173316,0.9412489339524306,0.8466609949884056,B_tabela_final,90,12,clima+vetor
lightgbm,243,43,0,0,43,200,0.0,1.0,,0.0,0.5,0.9159883720930232,0.6231998308189521,B_tabela_final,95,4,sazonal
lightgbm,243,43,25,7,18,193,0.5813953488372093,0.965,0.78125,0.6666666666666666,0.7731976744186047,0.9433720930232559,0.7732835351208235,B_tabela_final,95,4,so-clima
lightgbm,243,43,28,10,15,190,0.6511627906976745,0.95,0.7368421052631579,0.691358024691358,0.8005813953488372,0.9443023255813954,0.7849951472746419,B_tabela_final,95,4,clima+vetor
lightgbm,238,43,0,0,43,195,0.0,1.0,,0.0,0.5,0.9193202146690518,0.6288856399898868,B_tabela_final,95,8,sazonal
lightgbm,238,43,22,3,21,192,0.5116279069767442,0.9846153846153847,0.88,0.6470588235294118,0.7481216457960644,0.9574239713774597,0.8462876980672269,B_tabela_final,95,8,so-clima
lightgbm,238,43,24,4,19,191,0.5581395348837209,0.9794871794871794,0.8571428571428571,0.676056338028169,0.7688133571854502,0.958974358974359,0.831084751080853,B_tabela_final,95,8,clima+vetor
lightgbm,232,42,0,0,42,190,0.0,1.0,,0.0,0.5,0.9052005012531328,0.613197749446643,B_tabela_final,95,12,sazonal
lightgbm,232,42,15,4,27,186,0.35714285714285715,0.9789473684210527,0.7894736842105263,0.4918032786885246,0.6680451127819549,0.886967418546366,0.6339604823078117,B_tabela_final,95,12,so-clima
lightgbm,232,42,20,7,22,183,0.47619047619047616,0.9631578947368421,0.7407407407407407,0.5797101449275363,0.7196741854636591,0.906390977443609,0.6997392808239327,B_tabela_final,95,12,clima+vetor
