perda,h,n,MAE_sem_vetor,MAE_com_vetor,ganho_MAE,vies_pico_sem_vetor,vies_pico_com_vetor,DM_estatistica,DM_p_bruto,DM_p_holm_8,significativo
padrao,1,102,102.19446725037024,113.01363260483768,-10.819165354467444,-189.60974740071657,-222.25620532622037,-1.219628712703185,0.8872769561143665,1.0,False
padrao,4,102,182.62658894031594,170.49489957515573,12.131689365160213,-291.1614313475962,-367.54153834948255,0.5630975028928871,0.2873082093750465,1.0,False
padrao,8,102,212.66603904892398,183.13486013687196,29.531178912052013,-453.75207290090265,-397.4550795558709,0.7765526811885963,0.21961878222827347,1.0,False
padrao,12,102,205.2970044858126,203.40751211258555,1.889492373227057,-494.30786575010393,-460.43078954632523,0.046086462267290816,0.48166616864056616,1.0,False
quantil_0.85,1,102,91.98275281555958,97.98708193004315,-6.004329114483568,-103.67492684925882,-137.10185575395712,-0.631992851402661,0.735590236050454,1.0,False
quantil_0.85,4,102,180.56815109115757,168.70657870245495,11.861572388702626,-147.9260133181771,-177.04414888708953,0.9728482189162637,0.16647646216123535,1.0,False
quantil_0.85,8,102,179.01091798005945,178.34769275839315,0.6632252216662948,-333.0624379532775,-359.28692052978096,0.02245708687396034,0.49106382526977554,1.0,False
quantil_0.85,12,102,199.0345246572075,184.1987715847604,14.83575307244709,-420.5897975952791,-400.5657451475444,0.7095447798420347,0.239810659535745,1.0,False
