k,h,semanas_testadas,spearman_modelo_mediana,spearman_persistencia_mediana,spearman_climatologia_mediana,spearman_modelo_media,spearman_persistencia_media,spearman_climatologia_media,fracao_semanas_modelo_vence_persistencia,modelo_vence_persistencia
8,1,235,0.7857142857142859,0.8928571428571429,0.4642857142857144,0.6891614843660209,0.8418382398877469,0.3921360461673905,0.17872340425531916,False
8,2,234,0.6785714285714287,0.8214285714285715,0.4464285714285715,0.5736224085859778,0.7346823704486316,0.39121721364185436,0.24358974358974358,False
8,4,232,0.5357142857142858,0.6071428571428572,0.42857142857142866,0.4529331352277101,0.5395661927893078,0.3896636674540378,0.3879310344827586,False
8,8,228,0.5357142857142858,0.5,0.42857142857142866,0.449816868659648,0.4453852253178033,0.38913771675774267,0.5263157894736842,True
16,1,235,0.8142857142857142,0.8990173384323251,0.37321428571428567,0.7678617627916605,0.8645677917249837,0.3569052053321273,0.15319148936170213,False
16,2,234,0.7214285714285712,0.8010989010989011,0.3802197802197802,0.6504248417684759,0.7622697810711746,0.35759390507729966,0.25213675213675213,False
16,4,232,0.5703296703296703,0.607142857142857,0.38928571428571423,0.5231627491241864,0.5553940354017407,0.35745481990979155,0.46120689655172414,False
16,8,228,0.485576923076923,0.49285714285714277,0.39370140554272054,0.4470284359456492,0.4362016704377346,0.35546821561425257,0.5614035087719298,False
