data,h,real,pred
2020-12-27,8,2.0,4.160914300130595
2021-01-03,8,0.0,1.194001807495756
2021-01-10,8,1.0,3.1099418927069618
2021-01-17,8,0.0,5.892186888195774
2021-01-24,8,1.0,10.585515352447977
2021-01-31,8,1.0,6.753814485490065
2021-02-07,8,9.0,11.277661576302423
2021-02-14,8,12.0,12.988455468242657
2021-02-21,8,12.0,7.104115232603813
2021-02-28,8,8.0,41.1944594149542
2021-03-07,8,7.0,4.145317979313513
2021-03-14,8,9.0,19.061204733892183
2021-03-21,8,5.0,6.083291483194573
2021-03-28,8,0.0,4.698405594398489
2021-04-04,8,1.0,6.267589766246417
2021-04-11,8,1.0,24.597017306345975
2021-04-18,8,0.0,25.369418548670343
2021-04-25,8,0.0,10.285695350711366
2021-05-02,8,0.0,10.336443294419123
2021-05-09,8,1.0,8.692444765935424
2021-05-16,8,0.0,1.9660028516989252
2021-05-23,8,1.0,-2.082853449816469
2021-05-30,8,0.0,-0.563804862527328
2021-06-06,8,0.0,-0.11250210670937479
2021-06-13,8,0.0,1.1254192590423757
2021-06-20,8,0.0,0.09205765016487584
2021-06-27,8,0.0,0.6412833369284214
2021-07-04,8,0.0,-0.1827089986865129
2021-07-11,8,0.0,-0.4559793260898878
2021-07-18,8,0.0,2.583529282959913
2021-07-25,8,0.0,1.0311253741333721
2021-08-01,8,0.0,-0.10639423146835675
2021-08-08,8,0.0,-0.001506483263516407
2021-08-15,8,0.0,-0.10795447079189407
2021-08-22,8,0.0,0.11515170283147831
2021-08-29,8,0.0,0.06168768403863698
2021-09-05,8,0.0,0.09470531476195959
2021-09-12,8,0.0,-0.42641370507566834
2021-09-19,8,0.0,0.07254426091883824
2021-09-26,8,0.0,-0.042228201940796364
2021-10-03,8,0.0,0.3290674237503202
2021-10-10,8,1.0,-0.04984616392238457
2021-10-17,8,0.0,0.25826487716243673
2021-10-24,8,0.0,2.8666597329136825
2021-10-31,8,0.0,0.30075165461093667
2021-11-07,8,1.0,0.007492151944793445
2021-11-14,8,0.0,0.8734012962745386
2021-11-21,8,2.0,2.1411024167895745
2021-11-28,8,0.0,-0.32617057605325184
2021-12-05,8,1.0,2.129946156010253
2021-12-12,8,2.0,0.15361682320085152
2021-12-19,8,9.0,1.3598335683633427
2021-12-26,8,20.0,5.096953242278085
2022-01-02,8,51.0,3.7427248887634206
2022-01-09,8,203.0,9.556411443994184
2022-01-16,8,269.0,24.2745327156512
2022-01-23,8,463.0,119.00080644738904
2022-01-30,8,482.0,203.80273107742545
2022-02-06,8,524.0,74.26807060593546
2022-02-13,8,753.0,91.52717004536213
2022-02-20,8,879.0,56.76609168131048
2022-02-27,8,569.0,391.9579933286429
2022-03-06,8,344.0,19.29353588749316
2022-03-13,8,223.0,31.213396116036986
2022-03-20,8,313.0,109.2648362451043
2022-03-27,8,122.0,194.32283689595903
2022-04-03,8,92.0,133.3686115260732
2022-04-10,8,61.0,152.71626997544882
2022-04-17,8,17.0,112.27079208210155
2022-04-24,8,26.0,111.44631236229114
2022-05-01,8,19.0,41.8959348901636
2022-05-08,8,14.0,92.35890927324267
2022-05-15,8,24.0,38.13847000341098
2022-05-22,8,13.0,31.309181430288703
2022-05-29,8,11.0,5.570582430424502
2022-06-05,8,11.0,28.108694409328578
2022-06-12,8,3.0,34.35838369167826
2022-06-19,8,3.0,0.08126983323911144
2022-06-26,8,3.0,0.5400858385659447
2022-07-03,8,1.0,0.2314801165047883
2022-07-10,8,2.0,3.6627794876183835
2022-07-17,8,0.0,1.0674823434416632
2022-07-24,8,3.0,0.14052616344443103
2022-07-31,8,0.0,-0.2313887647779906
2022-08-07,8,1.0,0.48328422591688236
2022-08-14,8,0.0,3.284895189673768
2022-08-21,8,1.0,1.5882556155057124
2022-08-28,8,0.0,0.45167479084821127
2022-09-04,8,0.0,0.010281429469782135
2022-09-11,8,6.0,-0.013205415421945518
2022-09-18,8,11.0,0.48999184820830427
2022-09-25,8,7.0,2.3671942441962868
2022-10-02,8,9.0,2.184075449737571
2022-10-09,8,10.0,4.751876652725235
2022-10-16,8,4.0,1.930899314192255
2022-10-23,8,0.0,1.4396329668505896
2022-10-30,8,1.0,-0.36671699937427016
2022-11-06,8,0.0,3.8375129354104334
2022-11-13,8,3.0,3.953628809857117
2022-11-20,8,2.0,3.8421294729214144
2022-11-27,8,0.0,5.648264131569452
2022-12-04,8,2.0,-38.503650282090156
2022-12-11,8,0.0,82.4137886946053
2022-12-18,8,10.0,17.61108096246577
2022-12-25,8,7.0,38.17956143508504
2023-01-01,8,27.0,131.03174690641023
2023-01-08,8,37.0,-2.630837563951649
2023-01-15,8,93.0,34.18529984678423
2023-01-22,8,199.0,436.47066782121243
2023-01-29,8,250.0,99.56574140634964
2023-02-05,8,360.0,310.21759049221976
2023-02-12,8,541.0,230.35565301622867
2023-02-19,8,589.0,17.77925498321589
2023-02-26,8,581.0,38.06892859880651
2023-03-05,8,760.0,98.55235396862281
2023-03-12,8,762.0,148.34791607113277
2023-03-19,8,540.0,261.21900660721127
2023-03-26,8,473.0,166.57347946839857
2023-04-02,8,450.0,109.77898324349877
2023-04-09,8,225.0,319.39969543269603
2023-04-16,8,219.0,162.33370962224458
2023-04-23,8,66.0,93.07557607180544
2023-04-30,8,76.0,47.484769042696854
2023-05-07,8,74.0,17.629126812741998
2023-05-14,8,52.0,58.75641781041082
2023-05-21,8,32.0,32.633756721288215
2023-05-28,8,25.0,31.252095120732022
2023-06-04,8,15.0,33.06579724430462
2023-06-11,8,18.0,22.019141810008595
2023-06-18,8,13.0,15.403296123560992
2023-06-25,8,9.0,10.346105335718178
2023-07-02,8,9.0,2.8668597133060407
2023-07-09,8,1.0,4.922650834621755
2023-07-16,8,9.0,9.428081489895492
2023-07-23,8,3.0,1.568755006151541
2023-07-30,8,0.0,4.502335502986598
2023-08-06,8,5.0,3.0546742525564743
2023-08-13,8,5.0,0.3878228994388028
2023-08-20,8,4.0,12.406004921872263
2023-08-27,8,3.0,4.397672257139741
2023-09-03,8,7.0,-2.8840942600966466
2023-09-10,8,6.0,4.053932670750728
2023-09-17,8,0.0,0.7313772170812
2023-09-24,8,3.0,2.9826468388659144
2023-10-01,8,3.0,-0.7469450899205712
2023-10-08,8,7.0,2.6949583952453318
2023-10-15,8,3.0,4.5165192362522495
2023-10-22,8,3.0,-20.507938713005487
2023-10-29,8,10.0,0.7485954680041004
2023-11-05,8,9.0,-2.646319735707589
2023-11-12,8,11.0,-27.00858329216428
2023-11-19,8,12.0,1.6619215949547888
2023-11-26,8,30.0,5.363592342052232
2023-12-03,8,39.0,9.890695955638067
2023-12-10,8,80.0,389.6630827667168
2023-12-17,8,156.0,39.958731596355655
2023-12-24,8,249.0,48.92103816370523
2023-12-31,8,558.0,159.81508940231913
2024-01-07,8,1311.0,471.4938789010538
2024-01-14,8,1227.0,860.8351018860659
2024-01-21,8,995.0,419.48415521596127
2024-01-28,8,1109.0,827.5895168954332
2024-02-04,8,1601.0,1167.2595884113043
2024-02-11,8,1849.0,938.75178188043
2024-02-18,8,1783.0,1353.9178795323385
2024-02-25,8,1855.0,1400.2852629464705
2024-03-03,8,1347.0,329.7726149050427
2024-03-10,8,911.0,1473.4362484337291
2024-03-17,8,1510.0,329.2551472133778
2024-03-24,8,646.0,265.11752592538573
2024-03-31,8,520.0,661.7834903431295
2024-04-07,8,199.0,681.696303125783
2024-04-14,8,263.0,202.6851977536468
2024-04-21,8,277.0,174.83639553554863
2024-04-28,8,194.0,464.9623918551387
2024-05-05,8,89.0,141.04664943080522
2024-05-12,8,22.0,197.82629657338643
2024-05-19,8,10.0,63.03583026531246
2024-05-26,8,13.0,120.63053591217539
2024-06-02,8,22.0,-0.5215009860148275
2024-06-09,8,13.0,30.95346639584051
2024-06-16,8,16.0,-0.08302940307856972
2024-06-23,8,13.0,24.970937256822868
2024-06-30,8,14.0,33.749052512728056
2024-07-07,8,9.0,6.818266478930776
2024-07-14,8,7.0,7.663272410986181
2024-07-21,8,10.0,-2.0606931814904863
2024-07-28,8,7.0,2.240906844191165
2024-08-04,8,3.0,0.6854606136427661
2024-08-11,8,6.0,2.9018629641287794
2024-08-18,8,2.0,2.4109858244178883
2024-08-25,8,3.0,2.6840792155070385
2024-09-01,8,3.0,3.1893966055547716
2024-09-08,8,1.0,0.22531294696219722
2024-09-15,8,2.0,3.6375943295643527
2024-09-22,8,0.0,32.405107452767744
2024-09-29,8,7.0,0.6722155955107547
2024-10-06,8,4.0,2.5074915300480023
2024-10-13,8,5.0,6.319870705426437
2024-10-20,8,1.0,3.777802630605982
2024-10-27,8,1.0,1.6974014578620182
2024-11-03,8,19.0,16.184795114473168
2024-11-10,8,26.0,-3.0434677942832136
2024-11-17,8,32.0,-11.385361976033247
2024-11-24,8,37.0,56.19542760439491
2024-12-01,8,47.0,8.276134813446548
2024-12-08,8,75.0,41.479973270472776
2024-12-15,8,161.0,110.24316107860805
2024-12-22,8,245.0,19.84914912833991
2024-12-29,8,383.0,385.26464288584833
2025-01-05,8,494.0,629.0429542115597
2025-01-12,8,917.0,875.7919522684751
2025-01-19,8,1199.0,1225.0359598316088
2025-01-26,8,1801.0,1344.5300339472528
2025-02-02,8,2381.0,1529.7620823457023
2025-02-09,8,2184.0,1403.8962900530546
2025-02-16,8,2247.0,1989.9809183517414
2025-02-23,8,2229.0,2021.081409131293
2025-03-02,8,2212.0,2181.8312708669487
2025-03-09,8,2159.0,304.8388134189159
2025-03-16,8,1944.0,1078.8391968601702
2025-03-23,8,1988.0,802.1618277527463
2025-03-30,8,883.0,808.7361533344223
2025-04-06,8,579.0,169.7188232058835
2025-04-13,8,257.0,140.25852782929203
2025-04-20,8,105.0,334.09505193209543
2025-04-27,8,50.0,461.85622441153157
2025-05-04,8,22.0,107.31273519878197
2025-05-11,8,13.0,52.97782368322171
2025-05-18,8,7.0,35.74555452693078
2025-05-25,8,9.0,35.222213283944356
2025-06-01,8,5.0,-4.6999523867619235
2025-06-08,8,4.0,6.386007830938875
2025-06-15,8,11.0,13.717527654097104
2025-06-22,8,9.0,16.65890876723707
2025-06-29,8,4.0,5.873065796254747
2025-07-06,8,8.0,11.871244538304461
2025-07-13,8,6.0,1.216330448060583
2025-07-20,8,3.0,0.27484762199729623
2025-07-27,8,9.0,3.0999615654414816
2025-08-03,8,6.0,8.838117369076627
2025-08-10,8,7.0,3.3795593809940865
2025-08-17,8,5.0,2.9703438677832064
2025-08-24,8,4.0,6.23823920789902
2025-08-31,8,8.0,3.0852401633966813
2025-09-07,8,4.0,7.776366686949261
2025-09-14,8,0.0,9.322270960118036
2025-09-21,8,5.0,3.7563743227766744
2025-09-28,8,2.0,7.601668744437943
2025-10-05,8,3.0,0.5104750965848059
2025-10-12,8,2.0,5.040220152382173
2025-10-19,8,1.0,6.468014329403758
2025-10-26,8,1.0,3.1231883644307468
2025-11-02,8,0.0,6.3109403085577345
2025-11-09,8,2.0,-3.9998658851610775
2025-11-16,8,1.0,4.032705540065346
2025-11-23,8,1.0,8.939758132016669
2025-11-30,8,1.0,9.149921012721991
2025-12-07,8,1.0,117.31395124323122
2025-12-14,8,1.0,2.381196592945201
2025-12-21,8,1.0,86.94433007961209
2025-12-28,8,0.0,43.2133116950698
2026-01-04,8,1.0,28.966858639032964
2026-01-11,8,0.0,-43.379134439200854
2026-01-18,8,0.0,73.37206597500227
2026-01-25,8,0.0,140.4172874702787
2026-02-01,8,0.0,187.54429565113426
2026-02-08,8,0.0,206.27830640335176
2026-02-15,8,0.0,-12.0022675049739
2026-02-22,8,2.0,23.624687656111803
2026-03-01,8,1.0,11.906960064162421
