cenario,n_semanas_surto_base,b,c,n_discordantes,p_bruto_recalculado,p_holm_teto_6comp,taxa_discordancia_por_semana_surto
ontem_confirmados_observado,89,4,14,18,0.0309,0.1853,0.2022
projecao_notificados_mesma_taxa_discordancia,193,9,30,39,0.0011,0.0064,0.2022
