lag_semanas,autocorrelacao_mediana,n_grupos_validos,granularidade
1,0.9608156502391033,37,bairro
2,0.8957165509629306,37,bairro
4,0.7282329056472338,37,bairro
8,0.43253233297715227,37,bairro
1,0.9732519348961626,7,zona_k8
2,0.9266415211328998,7,zona_k8
4,0.7964028269094782,7,zona_k8
8,0.47715878076390456,7,zona_k8
1,0.9695258739233318,15,zona_k16
2,0.9151450380094653,15,zona_k16
4,0.7651926241840004,15,zona_k16
8,0.45681964175379597,15,zona_k16
