h,mae_real,r2_real,semanas,aumento_mae_Nucleo,aumento_pct_Nucleo,aumento_mae_Clima,aumento_pct_Clima,aumento_mae_Vetor,aumento_pct_Vetor
1,97.98708193004315,0.8979137481774447,102,312.02426128008926,318.43407838479743,28.694982358439262,29.28445443341781,19.55548697313833,19.95720924427545
2,161.95928284725565,0.7458026680600537,102,211.0191399167671,130.29147586173247,29.260768457860507,18.066743655228727,65.40985553913862,40.386604823896924
3,185.21415968018596,0.6983439593244603,102,148.4583557250986,80.1549708626195,30.29232078087216,16.35529423515928,130.66520880968346,70.54817462947025
4,219.6692347506603,0.6284596054568903,102,103.60257682787605,47.16298891170268,38.14322927476766,17.36393779404879,136.67659023625507,62.21926816078383
5,217.67416392029247,0.6126370950810317,102,93.21356232627534,42.822519975502516,55.228605153582464,25.37214530145432,159.05539623974903,73.07040641625785
6,262.69308401923695,0.44219797037998465,102,52.0355233208972,19.80848620936159,25.95699708263612,9.88111170857292,149.59703628132388,56.94745898615623
7,249.73680319457063,0.497450332419733,102,67.6398468701772,27.084452914005954,39.273459707633975,15.72593995168422,151.9269150103137,60.834812116957806
8,272.6266744147025,0.4502736906157241,102,63.290937930980135,23.215240426072892,38.78633074085519,14.226902347000673,143.88521857438093,52.77738096731936
9,284.1746747041617,0.38366417671808606,102,75.24625317800866,26.47887369145168,13.83902513100594,4.869900931676256,138.50313613576031,48.73873306266583
10,280.56058027664096,0.41819892553120164,102,93.83069788698589,33.44400620873612,-3.5209534566080265,-1.2549708348679145,153.58781986860942,54.74319297357003
11,292.10881518624666,0.378141208701138,102,96.02318120536972,32.87240104142218,1.6396686471841804,0.5613211796223057,133.36274917147023,45.65516076138921
12,278.8175469066808,0.436638906080309,102,112.36239506045445,40.29961396154946,8.134804216991483,2.9176084171324312,107.67743828948164,38.61931915121573
