h,data,real,pred,naive
3,2021-05-09,1.0,7.076387727713831,9.0
3,2021-05-30,0.0,0.5418954180153216,1.0
3,2021-06-20,0.0,2.1893638687093726,0.0
3,2021-07-11,0.0,0.1655667034205508,0.0
3,2021-08-01,0.0,0.825011559193702,0.0
3,2021-08-22,0.0,-0.616182333069454,0.0
3,2021-09-12,0.0,1.3846539953409946,0.0
3,2021-10-03,0.0,0.011663027203085112,0.0
3,2021-10-24,0.0,-0.0670069261470059,0.0
3,2021-11-14,1.0,-0.03977295769901527,0.0
3,2021-12-05,0.0,-0.0468469441795641,1.0
3,2021-12-26,2.0,2.7083417645568675,0.0
3,2022-01-16,2.0,1.2533055094079157,2.0
3,2022-02-06,51.0,8.418825194800132,2.0
3,2022-02-27,463.0,73.33480452279542,51.0
3,2022-03-20,753.0,312.61176652087715,463.0
3,2022-04-10,344.0,536.0631547529465,753.0
3,2022-05-01,122.0,355.9886053624665,344.0
3,2022-05-22,17.0,34.254684632240135,122.0
3,2022-06-12,14.0,29.880335249567814,17.0
3,2022-07-03,11.0,2.9958968453978057,14.0
3,2022-07-24,3.0,2.359902981094043,11.0
3,2022-08-14,2.0,0.6209704986715151,3.0
3,2022-09-04,0.0,0.7229276439273509,2.0
3,2022-09-25,1.0,0.2663891635685266,0.0
3,2022-10-16,6.0,0.2925527442313005,1.0
3,2022-11-06,9.0,3.8724202597988073,6.0
3,2022-11-27,0.0,17.54429219066692,9.0
3,2022-12-18,3.0,-0.7350596421586387,0.0
3,2023-01-08,2.0,12.126927511081277,3.0
3,2023-01-29,7.0,20.262668785056675,2.0
3,2023-02-19,93.0,156.31120276111756,7.0
3,2023-03-12,360.0,276.82507606206474,93.0
3,2023-04-02,581.0,502.47147002692003,360.0
3,2023-04-23,540.0,538.0181541733784,581.0
3,2023-05-14,225.0,304.4549239461839,540.0
3,2025-09-21,5.0,4.558263284858985,9.0
3,2025-10-12,4.0,5.801698785860791,5.0
3,2025-11-02,2.0,2.397566834008224,4.0
3,2025-11-23,1.0,1.5780600178262376,2.0
3,2025-12-14,2.0,2.2527836159624726,1.0
3,2026-01-04,1.0,9.444377585711203,2.0
3,2026-01-25,1.0,3.763145436839306,1.0
3,2026-02-15,0.0,18.8492843636001,1.0
3,2026-03-08,0.0,43.963657727028874,0.0
3,2026-03-29,2.0,19.287552344510132,0.0
4,2021-01-24,2.0,2.6337996056020465,0.0
4,2021-02-14,0.0,14.031189673762988,0.0
4,2021-03-07,9.0,8.70320065327348,1.0
4,2021-03-28,8.0,12.11667502202739,1.0
4,2021-04-18,5.0,10.113294232977283,12.0
4,2021-05-09,1.0,3.544574742087278,9.0
4,2021-05-30,0.0,0.17996828589393646,1.0
4,2021-06-20,1.0,0.7189927379061781,0.0
4,2021-07-11,0.0,0.6016097618330318,0.0
4,2021-08-01,0.0,0.4016753000087786,0.0
4,2021-08-22,0.0,0.003567667879068598,0.0
4,2021-09-12,0.0,0.202897405510639,0.0
4,2021-10-03,0.0,-0.084329533927354,0.0
4,2021-10-24,0.0,-0.03077039561520172,0.0
4,2021-11-14,0.0,-0.013246733991798517,0.0
4,2021-12-05,1.0,0.22235660726670756,1.0
4,2021-12-26,0.0,1.0939124150668815,0.0
4,2022-01-16,9.0,2.2836795033927806,2.0
4,2022-02-06,203.0,20.94733974842055,2.0
4,2022-02-27,482.0,77.28793851381674,51.0
4,2022-03-20,879.0,445.51879441649055,463.0
4,2022-04-10,223.0,620.5731693469436,753.0
4,2022-05-01,92.0,259.1253919977265,344.0
4,2022-05-22,26.0,27.09292390898181,122.0
4,2022-06-12,24.0,7.240711880848104,17.0
4,2022-07-03,11.0,2.0372610502140027,14.0
4,2022-07-24,3.0,2.9769401382606495,11.0
4,2022-08-14,0.0,0.8356814332668359,3.0
4,2022-09-04,1.0,2.4103615101853,2.0
4,2022-09-25,0.0,0.48614382093105285,0.0
4,2022-10-16,11.0,1.6136221228241665,1.0
4,2022-11-06,10.0,4.381690297330467,6.0
4,2022-11-27,1.0,6.2791078572492,9.0
4,2022-12-18,2.0,9.154858191975363,0.0
4,2023-01-08,0.0,-0.6329895319170031,3.0
4,2023-01-29,27.0,27.51749583476724,2.0
4,2023-02-19,199.0,251.4738384651423,7.0
4,2023-03-12,541.0,425.7844071627094,93.0
4,2023-04-02,760.0,619.6415656244942,360.0
4,2023-04-23,473.0,328.6037868568798,581.0
4,2025-09-07,7.0,1.3115269562119094,6.0
4,2025-09-28,8.0,3.895917581082227,6.0
4,2025-10-19,5.0,2.125284970903017,4.0
4,2025-11-09,2.0,1.7202163421977348,0.0
4,2025-11-30,0.0,-0.5778609636417612,3.0
4,2025-12-21,1.0,9.766034343029549,1.0
4,2026-01-11,1.0,39.33493247595132,1.0
4,2026-02-01,1.0,112.39560198071472,1.0
4,2026-02-22,0.0,-10.582254727073149,0.0
4,2026-03-15,0.0,15.086739880141108,0.0
5,2021-01-24,0.0,2.027761921447121,0.0
5,2021-02-14,1.0,4.8125469663505545,0.0
5,2021-03-07,12.0,15.2832065512511,1.0
5,2021-03-28,7.0,11.580550563946025,1.0
5,2021-04-18,0.0,15.88165734919424,12.0
5,2021-05-09,0.0,4.006702775156109,9.0
5,2021-05-30,1.0,-0.9878126406197918,1.0
5,2021-06-20,0.0,0.21848937972740282,0.0
5,2021-07-11,0.0,0.08614290785174042,0.0
5,2021-08-01,0.0,0.7900535609243209,0.0
5,2021-08-22,0.0,0.08509508345515111,0.0
5,2021-09-12,0.0,-0.058988249020626445,0.0
5,2021-10-03,0.0,-0.07102369101650345,0.0
5,2021-10-24,0.0,-0.038020973646178166,0.0
5,2021-11-14,0.0,0.3851454884066918,0.0
5,2021-12-05,0.0,0.1270436402915885,1.0
5,2021-12-26,1.0,6.095458959822247,0.0
5,2022-01-16,20.0,9.79419338487722,2.0
5,2022-02-06,269.0,50.7848950931709,2.0
5,2022-02-27,524.0,93.02040849918953,51.0
5,2022-03-20,569.0,547.7976894046647,463.0
5,2022-04-10,313.0,469.2647664556401,753.0
5,2022-05-01,61.0,160.67297868009987,344.0
5,2022-05-22,19.0,12.900163501351676,122.0
5,2022-06-12,13.0,4.710931269830025,17.0
5,2022-07-03,3.0,8.679612264237113,14.0
5,2022-07-24,1.0,4.855399596370985,11.0
5,2022-08-14,3.0,0.7778769272028742,3.0
5,2022-09-04,0.0,0.9538452296243923,2.0
5,2022-09-25,0.0,0.2059922024207334,0.0
5,2022-10-16,7.0,3.1296434584324664,1.0
5,2022-11-06,4.0,2.002049529949554,6.0
5,2022-11-27,0.0,2.2509098151249316,9.0
5,2022-12-18,0.0,-4.581369678946703,0.0
5,2023-01-08,10.0,3.9361861870397368,3.0
5,2023-01-29,37.0,39.108198313270194,2.0
5,2023-02-19,250.0,322.8729240368405,7.0
5,2023-03-12,589.0,577.273883812168,93.0
5,2023-04-02,762.0,383.5545132525503,360.0
5,2023-04-23,450.0,235.39074323386635,581.0
5,2025-09-14,4.0,0.2570523668584825,3.0
5,2025-10-05,0.0,3.728931173257137,7.0
5,2025-10-26,3.0,2.4118077273373064,8.0
5,2025-11-16,1.0,3.2377454039408367,5.0
5,2025-12-07,1.0,9.036504739552612,2.0
5,2025-12-28,1.0,12.984459816666114,0.0
5,2026-01-18,0.0,49.47251313710036,1.0
5,2026-02-08,0.0,495.51422987496545,1.0
5,2026-03-01,0.0,159.8938790480725,1.0
5,2026-03-22,1.0,0.5455353599923642,0.0
6,2021-01-24,1.0,-0.3147464802122796,0.0
6,2021-02-14,1.0,10.718405953780769,0.0
6,2021-03-07,12.0,16.52440219804192,1.0
6,2021-03-28,9.0,11.893781852016426,1.0
6,2021-04-18,1.0,10.106309141124001,12.0
6,2021-05-09,0.0,3.982484596724865,9.0
6,2021-05-30,0.0,-0.2803233805415906,1.0
6,2021-06-20,0.0,0.49379457338175764,0.0
6,2021-07-11,0.0,0.09889417524730695,0.0
6,2021-08-01,0.0,0.1635477655738442,0.0
6,2021-08-22,0.0,-0.03293207130627309,0.0
6,2021-09-12,0.0,-0.09269838892256109,0.0
6,2021-10-03,0.0,0.3407555740029364,0.0
6,2021-10-24,1.0,0.2696303093186433,0.0
6,2021-11-14,0.0,-0.05514613355458235,0.0
6,2021-12-05,2.0,0.39956751949960057,1.0
6,2021-12-26,2.0,4.177993313047144,0.0
6,2022-01-16,51.0,11.286524091069435,2.0
6,2022-02-06,463.0,51.46195067970858,2.0
6,2022-02-27,753.0,69.66121796404681,51.0
6,2022-03-20,344.0,316.9998336605735,463.0
6,2022-04-10,122.0,234.02093334969155,753.0
6,2022-05-01,17.0,61.96845083317552,344.0
6,2022-05-22,14.0,6.801952481041769,122.0
6,2022-06-12,11.0,4.2580423352674055,17.0
6,2022-07-03,3.0,1.338276562076351,14.0
6,2022-07-24,2.0,0.9813523685327268,11.0
6,2022-08-14,0.0,0.8632914628158967,3.0
6,2022-09-04,1.0,0.0608810809074949,2.0
6,2022-09-25,6.0,0.39574473569042434,0.0
6,2022-10-16,9.0,2.767166034513506,1.0
6,2022-11-06,0.0,2.845677595360566,6.0
6,2022-11-27,3.0,1.2224391442317344,9.0
6,2022-12-18,2.0,-1.7156763503380346,0.0
6,2023-01-08,7.0,4.713123966918975,3.0
6,2023-01-29,93.0,49.72760067945611,2.0
6,2023-02-19,360.0,319.8679092541384,7.0
6,2023-03-12,581.0,363.66190022501365,93.0
6,2023-04-02,540.0,245.46290737059067,360.0
6,2023-04-23,225.0,111.7622030908772,581.0
6,2025-09-21,4.0,2.0146355790194947,9.0
6,2025-10-12,2.0,1.6042405461428533,5.0
6,2025-11-02,1.0,2.3140064465643313,4.0
6,2025-11-23,2.0,1.5801783777465193,2.0
6,2025-12-14,1.0,6.372132818341625,1.0
6,2026-01-04,1.0,14.59749509892676,2.0
6,2026-01-25,0.0,324.97984553216645,1.0
6,2026-02-15,0.0,391.7506566306874,1.0
6,2026-03-08,2.0,100.04059468715212,0.0
7,2021-01-24,0.0,-0.0071375005583007405,0.0
7,2021-02-14,9.0,10.074552448893206,0.0
7,2021-03-07,8.0,12.928483725492649,1.0
7,2021-03-28,5.0,7.3362661297857095,1.0
7,2021-04-18,1.0,6.0889844880717865,12.0
7,2021-05-09,0.0,3.577576760358027,9.0
7,2021-05-30,1.0,-0.012044291023526136,1.0
7,2021-06-20,0.0,0.05020906797357879,0.0
7,2021-07-11,0.0,0.6548412791740952,0.0
