h,data,real,pred,naive
1,2023-02-19,27.0,59.53025991691439,7.0
1,2023-02-26,37.0,145.31105502541095,27.0
1,2023-03-05,93.0,19.303780159547465,37.0
1,2023-03-12,199.0,148.16492547812663,93.0
1,2023-03-19,250.0,358.5366380682913,199.0
1,2023-03-26,360.0,521.4100079159132,250.0
1,2023-04-02,541.0,455.6783898510812,360.0
1,2023-04-09,589.0,564.0378887545398,541.0
1,2023-04-16,581.0,573.6959488350103,589.0
1,2023-04-23,760.0,642.6459288947495,581.0
1,2023-04-30,762.0,688.258963176145,760.0
1,2023-05-07,540.0,641.5559440732328,762.0
1,2023-05-14,473.0,467.1415931711773,540.0
1,2023-05-21,450.0,426.4921289807047,473.0
1,2023-05-28,225.0,458.2412200549078,450.0
1,2025-09-07,3.0,3.089065144262179,6.0
1,2025-09-14,9.0,1.1490960499937208,3.0
1,2025-09-21,6.0,5.825715412018002,9.0
1,2025-09-28,7.0,7.87113506655279,6.0
1,2025-10-05,5.0,7.900912387279314,7.0
1,2025-10-12,4.0,9.6250604927448,5.0
1,2025-10-19,8.0,3.3041326764308674,4.0
1,2025-10-26,4.0,12.056191899670688,8.0
1,2025-11-02,0.0,3.283450411775794,4.0
1,2025-11-09,5.0,3.4448731671035415,0.0
1,2025-11-16,2.0,2.1993096259774494,5.0
1,2025-11-23,3.0,1.5893629547440833,2.0
1,2025-11-30,2.0,3.518066908422933,3.0
1,2025-12-07,1.0,4.080873049125683,2.0
1,2025-12-14,1.0,2.198270664830339,1.0
1,2025-12-21,0.0,8.87339445550935,1.0
1,2025-12-28,2.0,2.143356491868002,0.0
1,2026-01-04,1.0,10.596431379114888,2.0
1,2026-01-11,1.0,3.0541511809811204,1.0
1,2026-01-18,1.0,58.91128257385609,1.0
1,2026-01-25,1.0,19.3247013234931,1.0
1,2026-02-01,1.0,21.33000235806214,1.0
1,2026-02-08,1.0,10.776281542978937,1.0
1,2026-02-15,0.0,29.183081986495473,1.0
1,2026-02-22,1.0,5.519465449012795,0.0
1,2026-03-01,0.0,3.1325155149525425,1.0
1,2026-03-08,0.0,11.871186004845711,0.0
1,2026-03-15,0.0,3.5332524484514494,0.0
1,2026-03-22,0.0,-4.895830459485863,0.0
1,2026-03-29,0.0,-14.5397255706947,0.0
1,2026-04-05,0.0,8.05598106219584,0.0
1,2026-04-12,2.0,1.0884275635463283,0.0
1,2026-04-19,1.0,27.736463587689094,2.0
2,2021-01-24,0.0,12.941307884847811,0.0
2,2021-01-31,0.0,13.180191204864924,0.0
2,2021-02-07,2.0,34.30812571699824,0.0
2,2021-02-14,0.0,15.066647198729548,0.0
2,2021-02-21,1.0,4.967133243789233,2.0
2,2021-02-28,0.0,7.270191230018747,0.0
2,2021-03-07,1.0,13.479820981744671,1.0
2,2021-03-14,1.0,3.221957388157349,0.0
2,2021-03-21,9.0,1.4534670224423172,1.0
2,2021-03-28,12.0,2.221164206993183,1.0
2,2021-04-04,12.0,15.212781822538988,9.0
2,2021-04-11,8.0,18.11181965248399,12.0
2,2021-04-18,7.0,8.355144119559546,12.0
2,2021-04-25,9.0,9.266167444817711,8.0
2,2021-05-02,5.0,7.737162031436096,7.0
2,2021-05-09,0.0,6.825617591466716,9.0
